單字,詞性,詞根,中文解釋,例句1,例句2
aisle,n.,aisle- wing,過道; 走廊,She walked down the aisle.,The flight attendant walked along the aisle.
alcoholic,adj./n.,alcoh- alcohol; -ol- alcohol; -ic pertaining to,酒精的; 酗酒者,He is an alcoholic.,Alcoholic beverages are restricted.
alien,adj./n.,alien- other,外國的; 陌生的; 外星人,He felt like an alien in the new city.,The movie is about aliens.
allergic,adj.,all- other; -erg- work; -ic pertaining to,過敏的; 反感的,She is allergic to nuts.,He is allergic to cats.
allergy,n.,all- other; -erg- work; -y result of,過敏; 過敏症,He suffers from a severe allergy.,She has a pollen allergy.
alliance,n.,al- to/toward; -ly- bind; -ance state/quality,聯盟; 結盟,The two countries formed an alliance.,They entered into an alliance.
allocate,v.,al- to/toward; -loc- place; -ate make/cause to be,分配; 撥出,They allocated funds for the project.,We need to allocate resources efficiently.
ally,n./v.,al- to/toward; -ly- bind,盟友; 同盟; 結盟,The two countries are allies.,They allied themselves with the rebels.
alongside,prep./adv.,along- along; side- side,在...旁邊; 與...一起,He walked alongside her.,The boat docked alongside the pier.
alter,v.,alter- other,改變; 更改,He altered his plans.,The tailor altered the suit.
alternate,adj./v./n.,alter- other; -nate make/cause to be,交替的; 輪流的; 交替,They work on alternate days.,The lights alternate between red and green.
amend,v.,a- to/toward; -mend- fault,修改; 修正,They amended the constitution.,He amended his statement.
ample,adj.,ampl- large,充足的; 豐富的,There is ample evidence to support his claim.,They had ample time.
analyst,n.,ana- up/back; -lyst- one who loosens,分析師; 分析家,She works as a financial analyst.,He is a data analyst.
anonymous,adj.,an- not; -onym- name; -ous full of,匿名的; 不具名的,The donation was made by an anonymous donor.,He received an anonymous letter.
anticipate,v.,anti- before; -cip- take; -ate make/cause to be,預期; 期望,We anticipate a large crowd.,She anticipated his every move.
antique,adj./n.,anti- before; -que- old,古董的; 古老的; 古董,She collects antique furniture.,He bought an antique vase.
applause,n.,ap- to/toward; -plaus- clap; -e result,掌聲; 喝彩,The audience gave a round of applause.,He received a thunderous applause.
appliance,n.,ap- to/toward; -pli- fold; -ance state/quality,器具; 用具,Kitchen appliances are expensive.,She bought a new appliance.
apt,adj.,apt- fit,恰當的; 易於...的,He made an apt comment.,She is apt to forget things.
architect,n.,arch- chief; -tect- build,建築師,He is a famous architect.,She wants to be an architect.
architecture,n.,arch- chief; -tect- build; -ure act/state of,建築; 建築學,The city is known for its modern architecture.,He studied architecture.
arena,n.,arena- sand,競技場; 舞臺,The concert was held in a large arena.,The political arena is competitive.
arouse,v.,a- to/toward; -rouse- rouse,喚醒; 激起,His speech aroused the crowd.,The smell aroused his appetite.
array,n.,ar- to/toward; -ray- order,排列; 數組,A vast array of products.,The data is stored in an array.
arrogant,adj.,ar- to/toward; -rog- ask; -ant being,傲慢的; 自大的,He is an arrogant man.,Her arrogant attitude annoyed everyone.
articulate,v./adj.,articul- joint; -ate make/cause to be,清楚地表達; 善於表達的,He articulated his ideas clearly.,She is a very articulate speaker.
ass,n.,ass- donkey,驢; 笨蛋,He rode an ass.,Don't be an ass.
assault,n./v.,as- to/toward; -sault- leap,攻擊; 襲擊,He was charged with assault.,They assaulted the enemy position.
assert,v.,as- to/toward; -sert- join,斷言; 堅持,He asserted his innocence.,She asserted her rights.
assess(ment),v./(n.),as- to/toward; -sess- sit; -ment result of,評估; 評價,They assessed the damage.,The assessment of the situation.
asset,n.,as- to/toward; -set- set,資產; 優點,His experience is a valuable asset.,The company has many assets.
assumption,n.,as- to/toward; -sum- take; -ion act/state of,假設; 假定,His assumption was incorrect.,They made an assumption.
astonish(ment),v./(n.),as- to/toward; -ton- thunder; -ish make; -ment result of,使驚訝; 驚訝,His performance astonished the audience.,She looked at him in astonishment.
athletics,n.,athlet- contest; -ics art/science,田徑運動; 體育運動,He excels in athletics.,She is good at athletics.
attendance,n.,at- to/toward; -tend- stretch; -ance state/quality,出席; 到場,His attendance at the meeting is required.,The attendance was high.
attic,n.,attic- Athenian,閣樓; 頂樓,They stored old furniture in the attic.,The house has a spacious attic.
attorney,n.,at- to/toward; -torn- turn,律師; 代理人,He consulted his attorney.,She works as an attorney.
attribute,v.,at- to/toward; -tribute- give,歸因於; 歸屬,He attributed his success to hard work.,The painting is attributed to Picasso.
auction,n./v.,auct- increase,拍賣; 拍賣,The painting was sold at auction.,They auctioned off the property.
authorize,v.,auth- master; -or- agent; -ize make,授權; 批准,The manager authorized the purchase.,He was authorized to act on her behalf.
autonomy,n.,auto- self; -nom- law; -y result of,自治; 自主,The region was granted autonomy.,The university has a high degree of autonomy.
awe,n./v.,awe- fear/wonder,敬畏; 驚歎,He looked at the mountains with awe.,She was awed by his talent.
backyard,n.,back- back; yard- yard,後院,The children played in the backyard.,He has a small backyard.
ballot,n./v.,ballot- small ball,選票; 投票,They cast their ballots.,The election was decided by ballot.
ban,n./v.,ban- proclaim,禁令; 禁止,The government imposed a ban on smoking.,They banned smoking in public places.
banner,n.,banner- flag,旗幟; 橫幅,They carried banners in the protest.,The banner displayed the company logo.
barren,adj.,barren- empty,貧瘠的; 不毛的,The land was barren.,The barren desert stretched for miles.
batch,n.,batch- bake,一批; 一爐,He baked a batch of cookies.,They processed the orders in batches.
behalf,n.,be- by; half- side,代表; 利益,"On behalf of the company, I thank you.",He spoke on her behalf.
belongings,n.,be- by; long- long; -ing act/state of,財物; 隨身物品,She packed her belongings.,He left his belongings at the hotel.
beloved,adj./n.,be- by; love- love; -ed past participle,心愛的; 摯愛的; 心愛的人,He wrote a letter to his beloved wife.,She was his beloved.
beneficial,adj.,bene- good; -fic- make; -ial pertaining to,有益的; 有利的,Exercise is beneficial to health.,The new policy will be beneficial.
betray,v.,be- by; -tray- hand over,背叛; 出賣,He betrayed his country.,She felt betrayed by her friend.
beware,v.,be- by; ware- aware,當心; 提防,Beware of the dog.,Beware of strangers.
bias,n./v.,bias- slant,偏見; 偏心; 使有偏見,He has a strong bias against foreigners.,The media showed a clear bias.
bid,n./v.,bid- offer,出價; 投標; 努力,He made a bid for the painting.,They bid for the contract.
biological,adj.,bio- life; -log- word/reason; -ical pertaining to,生物的; 生物學的,He studies biological sciences.,The biological clock.
bizarre,adj.,bizarre- strange,奇異的; 古怪的,He had a bizarre dream.,The situation was bizarre.
blast,n./v.,blast- blow,爆炸; 衝擊波; 爆破,The blast shattered the windows.,They blasted the rock.
blur,n./v.,blur- dim,模糊; 模糊不清; 使模糊,The photo was a blur.,The tears blurred her vision.
blush,n./v.,blush- red,臉紅; 羞愧,She blushed at the compliment.,He felt a blush rise to his cheeks.
bodyguard,n.,body- body; guard- guard,保鏢; 警衛,The celebrity had a bodyguard.,He hired a bodyguard.
bolt,n./v.,bolt- arrow,螺栓; 閃電; 衝出,He secured the door with a bolt.,A bolt of lightning struck the tree.
bonus,n.,bon- good,獎金; 紅利,He received a bonus for his good work.,The company paid a year-end bonus.
boom,n./v.,boom- sound,繁榮; 轟鳴; 迅速發展,The economy is booming.,The thunder boomed.
boost,v./n.,boost- lift,提高; 促進; 推動,The news boosted his confidence.,The government plans to boost the economy.
booth,n.,booth- hut,貨攤; 電話亭; 投票亭,She sold her crafts at a booth.,He made a call from the phone booth.
boredom,n.,bore- bore; -dom state/quality,無聊; 厭煩,He suffered from boredom.,The movie was a cure for boredom.
bound,v./n.,bound- limit,跳躍; 邊界; 束縛,The ball bounded across the field.,The country's northern bound.
boundary,n.,bound- limit; -ary pertaining to,邊界; 界限,The river forms the boundary between the two countries.,They pushed the boundaries of science.
boxer,n.,box- hit; -er person,拳擊手; 拳師,He is a professional boxer.,The boxer won the match.
breakthrough,n.,break- break; through- through,突破; 重大進展,Scientists made a major breakthrough.,The company achieved a breakthrough.
briefcase,n.,brief- brief; case- case,公文包,He carried a briefcase.,She opened her briefcase.
bronze,n./adj.,bronze- metal,青銅; 青銅色的,The statue is made of bronze.,He won a bronze medal.
browse,v./n.,browse- graze,瀏覽; 隨意看; 瀏覽,She browsed through the books.,He spent hours browsing the internet.
bruise,n./v.,bruise- crush,瘀傷; 擦傷; 擦傷,He had a bruise on his arm.,She bruised her knee.
bulk,n.,bulk- mass,體積; 大部分,The bulk of the work is done.,The bulk of the population lives in cities.
bully,n./v.,bully- torment,欺凌者; 欺負,He was a bully at school.,Don't let them bully you.
bureau,n.,bureau- desk,局; 處; 辦公室,The Federal Bureau of Investigation.,He works at the bureau.
bureaucracy,n.,bureau- desk; -cracy- rule,官僚機構; 官僚主義,The company is plagued by bureaucracy.,He complained about the bureaucracy.
burial,n.,bury- bury; -al act/state of,埋葬; 葬禮,He attended the burial of his friend.,The ancient burial site.
butcher,n./v.,butch- goat,屠夫; 屠宰; 殺戮,He works as a butcher.,They butchered the animal.
calcium,n.,calc- lime,鈣,Milk is a good source of calcium.,Calcium is essential for strong bones.
canal,n.,canal- pipe,運河; 渠道,The Suez Canal connects the Mediterranean Sea and the Red Sea.,They dug a canal.
canvas,n./v.,can- hemp,帆布; 油畫; 用帆布覆蓋,The painting is on canvas.,He painted on canvas.
capability,n.,cap- take/hold; -able capable of; -ity state/quality,能力; 才能,He has the capability to do the job.,The company has strong capabilities.
carbon,n.,carb- coal,碳,Carbon dioxide is a greenhouse gas.,Diamonds are made of carbon.
carnival,n.,carn- flesh; -val- farewell,狂歡節; 嘉年華,They celebrated carnival.,The carnival parade was colorful.
casino,n.,cas- house,賭場,He lost a lot of money at the casino.,They went to the casino.
cathedral,n.,cathedr- seat,大教堂; 主教座堂,The cathedral is a magnificent building.,They visited the cathedral.
caution,n./v.,caut- beware; -ion act/state of,謹慎; 警告; 告誡,He exercised caution.,She cautioned him against going.
cautious,adj.,caut- beware; -ious full of,謹慎的; 小心的,He is a cautious driver.,Be cautious when crossing the road.
celebrity,n.,celebr- famous; -ity state/quality,名人; 名聲,She is a famous celebrity.,The magazine features celebrities.
cemetery,n.,cemeter- sleeping place,墓地; 公墓,He was buried in the cemetery.,The old cemetery was overgrown.
ceremony,n.,ceremon- sacred rite,儀式; 典禮,The wedding ceremony was beautiful.,They held a graduation ceremony.
certainty,n.,cert- sure; -ain- hold; -ty state/quality,確定; 必然,He spoke with certainty.,There is no certainty in life.
certificate,n./v.,cert- sure; -fic- make; -ate make/cause to be,證書; 證明書; 頒發證書,He received a certificate of completion.,The course is certified.
chaos,n.,chaos- void,混亂; 混沌,The room was in chaos.,The city was plunged into chaos.
chapel,n.,chapel- cloak,小教堂; 禮拜堂,They held a small wedding in the chapel.,The chapel is part of the church.
characterize,v.,charact- mark; -er- agent; -ize make,描繪...的特徵; 具有...的特徵,He characterized her as a strong woman.,The city is characterized by its vibrant nightlife.
chef,n.,chef- chief,廚師長; 廚師,He is a talented chef.,She works as a chef.
choir,n.,choir- chorus,唱詩班; 合唱團,The church choir sang beautifully.,He sings in the choir.
chord,n.,chord- string,和絃; 弦,He played a chord on the guitar.,The two ideas struck a chord with him.
chore,n.,chore- task,家務; 雜務,Doing laundry is a chore.,He helped with the household chores.
chronic,adj.,chron- time; -ic pertaining to,慢性的; 長期的,He suffers from chronic pain.,Chronic diseases are long-lasting.
chubby,adj.,chub- plump; -y full of,圓胖的; 豐滿的,The baby has chubby cheeks.,She has a chubby face.
chunk,n.,chunk- lump,大塊; 厚片,He cut a chunk of bread.,They bought a chunk of land.
circuit,n.,circ- circle; -uit- go,電路; 環行,The car raced around the circuit.,The electrical circuit was broken.
cite,v.,cit- call,引用; 引證,He cited several sources in his essay.,She cited his words.
citizenship,n.,cit- citizen; -izen- citizen; -ship state/quality,公民身份; 公民權,He applied for citizenship.,She has dual citizenship.
civic,adj.,civ- citizen; -ic pertaining to,公民的; 市民的,He is involved in civic affairs.,Civic duty is important.
clarity,n.,clar- clear; -ity state/quality,清晰; 明確,He spoke with great clarity.,The clarity of his explanation.
clause,n.,claus- close,條款; 子句,The contract contains a penalty clause.,The sentence has a main clause.
cling,v.,cling- stick,緊抓; 依附,The child clung to his mother.,The wet clothes clung to her skin.
clinical,adj.,clin- bed; -ical pertaining to,臨床的; 診所的,He works in a clinical setting.,The clinical trials were successful.
cluster,n./v.,cluster- group,群; 簇; 群集,A cluster of stars.,The children clustered around the teacher.
cocaine,n.,coca- plant,可卡因,Cocaine is an illegal drug.,He was arrested for possession of cocaine.
coffin,n.,coffin- basket,棺材,The coffin was lowered into the grave.,He lay in his coffin.
cognitive,adj.,cogn- know; -itive tending to,認知的; 認識的,He studies cognitive psychology.,Cognitive development in children.
coherent,adj.,co- together; -her- stick; -ent being,連貫的; 有條理的,He presented a coherent argument.,The plan was coherent.
coincidence,n.,co- together; -in- in; -cid- fall; -ence state/quality,巧合; 一致,It was a strange coincidence.,"By coincidence, they met."
collaboration,n.,col- together; -labor- work; -ation act/state of,合作; 協作,The project was a collaboration between two universities.,They worked in close collaboration.
collective,adj./n.,col- together; -lect- gather; -ive tending to,集體的; 共同的; 集體,The collective effort of the team.,They made a collective decision.
collector,n.,col- together; -lect- gather; -or agent,收藏家; 收集者,He is a stamp collector.,She is an art collector.
colonial,adj./n.,colon- inhabit; -ial pertaining to,殖民地的; 殖民者,The country was under colonial rule.,Colonial architecture.
columnist n. combat,n./v.,col- together; -umn- pillar; -ist person,專欄作家; 戰鬥; 格鬥,She is a well-known columnist.,The soldiers engaged in combat.
comedian,n.,com- together; -ed- sing; -ian person,喜劇演員; 丑角,He is a stand-up comedian.,The comedian made everyone laugh.
commentary,n.,com- together; -ment- mind; -ary pertaining to,評論; 旁白,He provided a commentary on the game.,The news commentary was insightful.
commentator,n.,com- together; -ment- mind; -ator agent,評論員; 講解員,The sports commentator described the action.,He is a political commentator.
commission,n./v.,com- together; -miss- send; -ion act/state of,委員會; 佣金; 委託,He received a commission for the sale.,The government commissioned a report.
commitment,n.,com- together; -mit- send; -ment result of,承諾; 投入,He showed great commitment to his work.,They made a commitment to each other.
commodity,n.,com- together; -mod- measure; -ity state/quality,商品; 日用品,Oil is a valuable commodity.,Agricultural commodities.
communism,n.,com- together; -mun- common; -ism doctrine,共產主義,He believes in communism.,The fall of communism.
communist,adj./n.,com- together; -mun- common; -ist person,共產主義的; 共產主義者,He is a communist.,The Communist Party.
commute,v.,com- together; -mut- change,通勤; 交換,He commutes to work by train.,She commutes an hour every day.
commuter,n.,com- together; -mut- change; -er person,通勤者; 上下班者,The train was full of commuters.,Commuters faced delays.
compact,adj./n./v.,com- together; -pact- fasten,緊湊的; 緊密的; 契約; 壓實,The car is compact.,They signed a compact.
comparable,adj.,com- together; -par- equal; -able capable of,可比較的; 類似的,The two products are comparable in quality.,His achievements are comparable to hers.
compassion,n.,com- together; -pass- suffer; -ion act/state of,同情; 憐憫,She showed compassion for the poor.,He felt compassion for the victims.
compassionate,adj.,com- together; -pass- suffer; -ate full of,富有同情心的; 慈悲的,He is a compassionate doctor.,She has a compassionate nature.
compatible,adj.,com- together; -pat- suffer; -ible capable of,兼容的; 和睦相處的,The software is compatible with your computer.,They are a compatible couple.
compel,v.,com- together; -pel- drive,強迫; 迫使,He felt compelled to tell the truth.,The law compels employers to provide a safe workplace.
compensate,v.,com- together; -pens- weigh; -ate make/cause to be,補償; 賠償,They compensated him for his losses.,The company compensated its employees.
compensation,n.,com- together; -pens- weigh; -ation act/state of,補償; 賠償金,He received compensation for his injuries.,The company offered him compensation.
competence,n.,com- together; -pet- seek; -ence state/quality,能力; 勝任,He demonstrated his competence in the job.,She has a high level of competence.
competent,adj.,com- together; -pet- seek; -ent being,有能力的; 勝任的,He is a competent worker.,She is a competent swimmer.
complexity,n.,com- together; -plex- fold; -ity state/quality,複雜性; 複雜,The complexity of the problem.,He explained the complexity of the system.
compliance,n.,com- together; -pli- fold; -ance state/quality,遵守; 服從,The company is in compliance with regulations.,They ensured compliance with the law.
complication,n.,com- together; -plic- fold; -ation act/state of,併發症; 複雜化,He suffered complications after the surgery.,The situation became a complication.
compliment,n./v.,com- together; -pli- fill; -ment result of,讚美; 恭維; 稱讚,She paid him a compliment.,He complimented her on her dress.
comply,v.,com- together; -pli- fold,遵守; 服從,They must comply with the rules.,He refused to comply.
component,n./adj.,com- together; -pon- put; -ent being,組成部分; 成分; 組成的,The computer has many components.,The component parts of the machine.
compound,n./v./adj.,com- together; -pon- put,化合物; 複合詞; 混合; 複合的,Water is a chemical compound.,The word is a compound noun.
comprehend,v.,com- together; -prehend- grasp,理解; 領會,He could not comprehend the instructions.,She comprehended the meaning.
comprehension,n.,com- together; -prehend- grasp; -ion act/state of,理解; 領會,He has a good comprehension of the subject.,Reading comprehension is important.
comprise,v.,com- together; -pris- take,包含; 構成,The committee comprises ten members.,The team comprises players from different countries.
compromise,n./v.,com- together; -promis- promise,妥協; 折衷; 妥協,They reached a compromise.,He refused to compromise.
compulsory,adj.,com- together; -pul- drive; -sory tending to,強制的; 義務的,Education is compulsory until the age of 16.,Military service is compulsory in some countries.
conceal,v.,con- together; -ceal- hide,隱藏; 隱瞞,He concealed the truth from her.,She concealed the weapon.
concede,v.,con- together; -cede- go,承認; 讓步,He conceded defeat.,The company conceded to the demands.
conceive,v.,con- together; -ceive- take,構思; 懷孕; 設想,She conceived a plan.,He couldn't conceive of such a thing.
conception,n.,con- together; -cept- take; -ion act/state of,概念; 構思; 懷孕,The conception of a new idea.,The conception of the child.
condemn,v.,con- together; -demn- harm,譴責; 判刑,They condemned the terrorist attack.,He was condemned to death.
conduct,v./n.,con- together; -duct- lead,引導; 行為; 實施,He conducted the orchestra.,His conduct was exemplary.
confession,n.,con- together; -fess- speak; -ion act/state of,供認; 懺悔,He made a full confession.,She went to confession.
confidential,adj.,con- together; -fid- trust; -ent- being; -ial pertaining to,機密的; 秘密的,The information is confidential.,He kept the matter confidential.
confine,v.,con- together; -fin- end,限制; 禁閉,He was confined to his bed.,The prisoners were confined to their cells.
conform,v.,con- together; -form- form,符合; 遵守,He refused to conform to social norms.,The building conforms to safety standards.
confront,v.,con- together; -front- forehead,面對; 對抗,He confronted his accuser.,They confronted the challenges.
confrontation,n.,con- together; -front- forehead; -ation act/state of,對抗; 衝突,There was a confrontation between the police and the protesters.,He avoided confrontation.
consecutive,adj.,con- together; -secut- follow; -ive tending to,連續的; 連貫的,He won three consecutive games.,They had five consecutive victories.
consensus,n.,con- together; -sens- feel,共識; 一致意見,They reached a consensus on the issue.,There was a general consensus.
consent,n./v.,con- together; -sent- feel,同意; 允許,He gave his consent to the marriage.,She consented to the proposal.
conservation,n.,con- together; -serv- keep; -ation act/state of,保護; 保存,Wildlife conservation is important.,Energy conservation is crucial.
considerate,adj.,con- together; -sider- star; -ate full of,體貼的; 考慮周到的,He is a very considerate person.,She is always considerate of others.
constitutional,adj./n.,con- together; -stitut- stand; -ion act/state of; -al pertaining to,憲法的; 符合憲法的; 憲法,The law is constitutional.,He studied constitutional law.
constraint,n.,con- together; -strain- draw tight; -t result,約束; 限制,They faced financial constraints.,He worked under severe constraints.
consultation,n.,con- together; -sult- leap; -ation act/state of,諮詢; 商議,He had a consultation with his doctor.,They held a consultation.
consumption,n.,con- together; -sum- take; -ion act/state of,消費; 消耗,Energy consumption is rising.,The consumption of alcohol is restricted.
contagious,adj.,con- together; -tag- touch; -ious full of,傳染性的; 有感染力的,The disease is highly contagious.,Her laughter was contagious.
contaminate,v.,con- together; -tamin- touch; -ate make/cause to be,汙染; 弄髒,The water was contaminated with chemicals.,The food was contaminated.
contemplate,v.,con- together; -templ- temple; -ate make/cause to be,沉思; 考慮; 凝視,He contemplated his future.,She contemplated the painting.
contemporary,adj./n.,con- together; -temp- time; -orary pertaining to,當代的; 同時代的; 同代人,Contemporary art is popular.,He is a contemporary of Picasso.
contempt,n.,con- together; -tempt- scorn,輕蔑; 蔑視,He treated her with contempt.,She felt contempt for his actions.
contend,v.,con- together; -tend- stretch,競爭; 主張,He contended for the championship.,She contended that he was wrong.
continental,adj.,con- together; -tin- hold; -ent- being; -al pertaining to,大陸的; 歐洲大陸的,The continental climate is harsh.,He traveled across the continental United States.
contractor,n.,con- together; -tract- draw; -or agent,承包商; 承包人,The company hired a contractor.,He works as a building contractor.
contradiction,n.,contra- against; -dict- say; -ion act/state of,矛盾; 反駁,His statements were full of contradictions.,There was a contradiction in his testimony.
controversial,adj.,contra- against; -vers- turn; -ial pertaining to,有爭議的; 引起爭議的,The issue is highly controversial.,He made a controversial statement.
controversy,n.,contra- against; -vers- turn; -y result of,爭議; 爭論,The decision caused a lot of controversy.,There was a heated controversy.
conversion,n.,con- together; -vers- turn; -ion act/state of,轉換; 轉變,The conversion of the building into apartments.,Religious conversion.
convert,v.,con- together; -vers- turn,轉換; 改變,They converted the garage into a studio.,He converted to Islam.
convict,v./n.,con- together; -vict- conquer,判罪; 罪犯,He was convicted of murder.,The escaped convict was recaptured.
conviction,n.,con- together; -vict- conquer; -ion act/state of,定罪; 堅信,He had a strong conviction that he was right.,She had a prior conviction.
coordinate,v./n./adj.,co- together; -ordin- order; -ate make/cause to be,協調; 座標; 協調的,They coordinated their efforts.,The coordinates of the location.
copyright,n./v.,copy- copy; right- right,版權; 著作權; 擁有版權,The book is protected by copyright.,He copyrighted his music.
core,n.,core- heart,核心; 中心,The core of the apple.,The core of the problem.
corporate,adj.,corp- body; -ate make/cause to be,公司的; 法人的,He works in corporate finance.,Corporate responsibility is important.
corporation,n.,corp- body; -ation act/state of,公司; 法人,She works for a large corporation.,The corporation owns several businesses.
correlation,n.,cor- together; -relat- relate; -ion act/state of,關聯; 相關性,There is a strong correlation between smoking and cancer.,They found a correlation.
correspondent,n.,cor- together; -respond- answer; -ent being,記者; 通訊員,She is a foreign correspondent.,He works as a war correspondent.
corridor,n.,cor- together; -rid- run,走廊; 通道,He walked down the corridor.,The hotel has long corridors.
corrupt,adj./v.,cor- together; -rupt- break,腐敗的; 墮落的; 使腐敗,The government was corrupt.,Power tends to corrupt.
corruption,n.,cor- together; -rupt- break; -ion act/state of,腐敗; 貪汙,The country is plagued by corruption.,He fought against corruption.
counsel,n./v.,counsel- advise,忠告; 律師; 勸告,He sought legal counsel.,She counseled him to be patient.
counselor,n.,counsel- advise; -or agent,顧問; 輔導員,She works as a school counselor.,He is a marriage counselor.
courteous,adj.,court- court; -eous full of,有禮貌的; 謙恭的,He is always courteous to his elders.,She received a courteous reply.
coverage,n.,cover- cover; -age act/state of,覆蓋範圍; 新聞報道,The insurance provides full coverage.,The news coverage was extensive.
credibility,n.,cred- believe; -ible capable of; -ity state/quality,可信度; 信譽,His credibility was questioned.,The scandal damaged his credibility.
creek,n.,creek- inlet,小溪; 小河,They camped by a small creek.,The children played in the creek.
cripple,v./n.,cripple- lame,使殘廢; 跛子,The accident crippled him.,The war crippled the economy.
criterion/criteria,n.,crit- judge; -erion- standard,標準; 準則,The main criterion for selection is experience.,They used several criteria.
crucial,adj.,cruc- cross,關鍵的; 重要的,The decision was crucial.,It's crucial to understand this point.
crude,adj.,crud- raw,粗糙的; 簡陋的; 粗魯的,Crude oil is refined into gasoline.,He made a crude joke.
cruise,n./v.,cruise- cross,巡航; 巡遊; 乘船遊覽,They went on a Caribbean cruise.,The ship cruised along the coast.
crystal,n./adj.,cryst- ice,水晶; 水晶的; 清澈的,She wore a crystal necklace.,The water was crystal clear.
cuisine,n.,cuisin- kitchen,烹飪; 菜餚,French cuisine is famous.,He enjoys Italian cuisine.
currency,n.,curr- run; -ency state/quality,貨幣; 通貨,The local currency is the euro.,Foreign currency exchange.
curriculum,n.,curr- run,課程; 課程設置,The school offers a broad curriculum.,They revised the curriculum.
custody,n.,custod- guard; -y result of,監護; 拘留,She was granted custody of the children.,He was taken into custody.
customs,n.,custom- habit,海關; 關稅,He went through customs.,They paid customs duties.
deadly,adj./adv.,dead- dead; -ly like,致命的; 極度的; 致命地,The snake has a deadly venom.,He was deadly serious.
debris,n.,de- down/away; -bris- break,碎片; 殘骸,The street was covered in debris.,The debris from the explosion.
debut,n.,de- down/away; -but- aim,首次亮相; 首次登臺,She made her debut as a singer.,The band's debut album.
decay,n./v.,de- down/away; -cay- fall,腐爛; 衰退; 腐爛,The old house was in a state of decay.,The teeth began to decay.
