單字,詞性,詞根,中文解釋,例句1,例句2
assist,v.,as- to/toward; -sist- stand,幫助; 協助,He assisted her with her work.,The assistant helped him.
assistant,n.,as- to/toward; -sist- stand; -ant person,助手; 助理,He works as a sales assistant.,She is my assistant.
assume,v.,as- to/toward; -sum- take,假定; 承擔,I assume you're coming.,He assumed responsibility for the project.
athlete,n.,athlet- contest; -e person,運動員,He is a professional athlete.,The Olympic athlete.
attitude,n.,att- to/toward; -itude state/quality,態度; 看法,He has a positive attitude.,Her attitude towards work.
attract,v.,at- to/toward; -tract- draw,吸引; 引起,The flowers attract bees.,His charm attracted her.
attractive,adj.,at- to/toward; -tract- draw; -ive tending to,有吸引力的; 迷人的,She is a very attractive woman.,An attractive offer.
audience,n.,aud- hear; -ience state/quality,觀眾; 聽眾,The audience applauded loudly.,The concert attracted a large audience.
automatic,adj.,auto- self; -mat- move; -ic pertaining to,自動的; 自動化的,The car has automatic transmission.,An automatic door.
automobile/auto,n.,auto- self; mobil- move,汽車,He bought a new automobile.,She drives an auto.
avenue,n.,a- to/toward; -ven- come,大街; 林蔭道,Fifth Avenue is a famous street.,A tree-lined avenue.
awake,adj./v.,a- on; wake- wake,醒著的; 喚醒,He was wide awake.,She awoke early.
awaken,v.,a- on; wake- wake; -en make,喚醒; 醒來,He awakened from his sleep.,The noise awakened him.
award,n./v.,a- to/toward; -ward- guard,獎品; 獎項; 授予,He won an award for his work.,She was awarded a prize.
aware,adj.,a- on; ware- aware,意識到的; 察覺到的,He was aware of the danger.,She was aware of his presence.
awful,adj.,awe- fear/wonder; -ful full of,可怕的; 糟糕的,The weather was awful.,He felt awful.
awkward,adj.,awk- wrong; -ward- direction,笨拙的; 尷尬的,He made an awkward movement.,The situation was awkward.
background,n.,back- back; ground- ground,背景; 經歷,He has a strong academic background.,The background of the story.
bacon,n.,bacon- pork,培根; 燻肉,He ate bacon and eggs for breakfast.,Crispy bacon.
bacteria,n.,bacter- rod,細菌,Bacteria can cause disease.,Harmful bacteria.
badly,adv.,bad- bad; -ly in a manner,糟糕地; 嚴重地,He played badly.,He was badly injured.
baggage,n.,bag- bag; -age act/state of,行李; 包裹,He checked his baggage.,Lost baggage.
bait,n./v.,bait- bite,誘餌; 引誘; 放置誘餌,He used worms as bait.,They baited the trap.
bamboo,n.,bamboo- plant,竹子,Pandas eat bamboo.,Bamboo shoots.
bang,n./v./adv.,bang- sound,砰的一聲; 猛擊; 砰地,He heard a loud bang.,He banged on the door.
banker,n.,bank- bank; -er person,銀行家,He is a wealthy banker.,An investment banker.
bare,adj./v.,bare- naked,赤裸的; 光禿的; 暴露,He walked with bare feet.,The trees were bare.
barely,adv.,bare- naked; -ly in a manner,幾乎不; 勉強,He barely passed the exam.,She barely spoke.
barn,n.,barn- storage,穀倉; 牲口棚,The farmer stored hay in the barn.,A red barn.
barrel,n.,barrel- container,桶; 槍管,He rolled the barrel.,The barrel of a gun.
basement,n.,base- base; -ment result of,地下室; 地窖,They stored things in the basement.,The house has a full basement.
bay,n.,bay- inlet,海灣; 港灣,The ship sailed into the bay.,San Francisco Bay.
bead,n.,bead- prayer,珠子; 水珠,She wore a necklace of beads.,Sweat beads on his forehead.
beam,n./v.,beam- ray,光束; 橫樑; 照射,A beam of light shone through the window.,The sun beamed down on them.
beast,n.,beast- animal,野獸; 牲畜,The beast roared.,A wild beast.
beetle,n.,beetle- insect,甲蟲; 獨角仙,A beetle crawled on the leaf.,The beetle is black.
beneath,prep.,be- by; neath- beneath,在...下面; 在...之下,He hid the money beneath the bed.,The treasure lies beneath the sea.
benefit,n./v.,bene- good; -fit- make,利益; 好處; 有益於,He received many benefits.,The new policy will benefit everyone.
berry,n.,berry- fruit,漿果; 莓,She picked some berries.,Strawberries are berries.
besides,adv./prep.,be- by; side- side,此外; 而且; 除了...之外,"Besides, I don't have time.","Besides him, no one else came."
bet,v./n.,bet- wager,打賭; 賭注; 打賭,He bet on the horse.,I'll bet you $10.
bind,v.,bind- tie,捆綁; 約束,He bound the books together.,The contract binds them.
bitter,adj.,bitter- sharp,苦的; 痛苦的; 嚴酷的,The medicine tasted bitter.,He felt bitter about his failure.
bleed,v.,bleed- blood,流血; 出血,His nose was bleeding.,The wound bled.
bless,v.,bless- consecrate,祝福; 保佑,God bless you.,He blessed the food.
bloody,adj.,blood- blood; -y full of,血腥的; 流血的; 該死的,He had a bloody nose.,A bloody battle.
blouse,n.,blouse- shirt,女襯衫; 罩衫,She wore a white blouse.,A silk blouse.
bold,adj.,bold- brave,大膽的; 勇敢的; 醒目的,He made a bold decision.,Bold colors.
bomb,n./v.,bomb- explosion,炸彈; 轟炸; 失敗,The bomb exploded.,They bombed the city.
bookcase,n.,book- book; case- case,書櫃; 書架,He put his books on the bookcase.,A wooden bookcase.
boot,n./v.,boot- shoe,靴子; 踢; 啟動,He wore leather boots.,He booted the computer.
bore,v./n.,bore- weary,使厭煩; 鑽孔; 令人厭煩的人,The lecture bored him.,He is a bore.
bowling,n.,bowl- ball; -ing act/state of,保齡球,He goes bowling every week.,A bowling alley.
brake,n./v.,brake- stop,剎車; 制動; 剎車,He slammed on the brakes.,The car braked suddenly.
brass,n./adj.,brass- metal,黃銅; 黃銅色的,The statue is made of brass.,Brass instruments.
bravery,n.,brave- brave; -ery state/quality,勇敢; 勇氣,He showed great bravery.,Her bravery was admired.
breast,n.,breast- chest,乳房; 胸部,She fed the baby at her breast.,He has a broad breast.
breath,n.,breath- air,呼吸; 氣息,He took a deep breath.,She held her breath.
breathe,v.,breath- air,呼吸; 喘氣,He breathed deeply.,She breathed a sigh of relief.
breeze,n./v.,breeze- wind,微風; 輕而易舉的事; 輕鬆地走,A gentle breeze blew.,The exam was a breeze.
brick,n.,brick- block,磚; 磚塊,The house is made of brick.,A brick wall.
bride,n.,bride- bride,新娘,The bride wore a white dress.,The bride and groom.
broadcast,n./v.,broad- broad; cast- throw,廣播; 播送; 廣播節目,The news was broadcast live.,A radio broadcast.
brunch,n.,break- break; lunch- lunch,早午餐,They had brunch on Sunday.,A brunch buffet.
bubble,n./v.,bubble- sphere,氣泡; 泡沫; 冒泡,Bubbles rose to the surface.,The water bubbled.
bucket,n.,bucket- pail,水桶; 桶,He filled the bucket with water.,A plastic bucket.
bud,n./v.,bud- sprout,芽; 花蕾; 發芽,The rose bud opened.,The trees are budding.
budget,n./v.,budget- bag,預算; 預算,He prepared a budget.,They budgeted for the trip.
buffalo,n.,buffalo- ox,水牛; 野牛,Buffalo roam the plains.,A herd of buffalo.
buffet,n.,buffet- blow,自助餐; 櫃檯,They had a buffet dinner.,A buffet table.
bulb,n.,bulb- swelling,燈泡; 球莖,He changed the light bulb.,A tulip bulb.
bull,n.,bull- male ox,公牛; 雄性,The bull charged at him.,A bull market.
bullet,n.,bull- ball,子彈; 彈丸,The bullet hit the target.,A bullet wound.
bump,n./v.,bump- hit,碰撞; 腫塊; 碰撞,He bumped his head.,She felt a bump on her head.
bunch,n.,bunch- cluster,束; 串; 群,A bunch of flowers.,A bunch of grapes.
bundle,n.,bundle- bind,捆; 束; 包裹,He carried a bundle of clothes.,A bundle of joy.
bury,v.,bury- hide,埋葬; 掩埋,They buried the treasure.,He was buried in the cemetery.
bush,n.,bush- shrub,灌木; 矮樹叢,A rose bush.,He hid behind the bush.
buzz,n./v.,buzz- sound,嗡嗡聲; 嗡嗡作響,The bees buzzed around the flowers.,The doorbell buzzed.
cabin,n.,cabin- hut,小屋; 客艙,They stayed in a small cabin.,The airplane cabin.
cable,n./v.,cable- rope,纜繩; 電纜; 發電報,The bridge is supported by steel cables.,He watched TV on cable.
cafeteria,n.,cafe- coffee,自助餐廳; 食堂,They ate lunch in the cafeteria.,The school cafeteria.
campus,n.,camp- field,校園; 大學,He lives on campus.,The university campus.
canyon,n.,canyon- tube,峽谷,The Grand Canyon is a famous canyon.,They hiked through the canyon.
capable,adj.,cap- take/hold; -able capable of,有能力的; 有才能的,He is capable of doing the job.,She is a capable leader.
captain,n.,capit- head,船長; 隊長; 上尉,The captain commanded the ship.,He is the captain of the team.
capture,v.,cap- take/hold; -ture act/state of,捕獲; 俘虜; 奪取,They captured the enemy soldier.,The photo captured the moment.
career,n.,car- car,職業; 生涯,He has a successful career.,Her career as a doctor.
carpenter,n.,carp- wood; -enter- agent,木匠; 木工,He works as a carpenter.,The carpenter built the house.
carpet,n./v.,carpet- cloth,地毯; 鋪地毯,He bought a new carpet.,They carpeted the room.
carriage,n.,car- car; -age act/state of,馬車; 嬰兒車; 姿態,The princess rode in a carriage.,A baby carriage.
cart,n./v.,cart- wagon,手推車; 購物車; 用車運,He pushed a shopping cart.,They carted the goods away.
cast,v./n.,cast- throw,投擲; 鑄造; 演員陣容,He cast a stone into the water.,The cast of the play.
casual,adj.,cas- fall; -ual- happening,隨便的; 非正式的; 偶然的,He wore casual clothes.,A casual conversation.
cattle,n.,cattle- property,牛; 家畜,The farmer raised cattle.,A herd of cattle.
cave,n./v.,cave- hollow,洞穴; 挖洞,They explored the cave.,The animal caved in.
champion,n.,champ- field; -ion- winner,冠軍; 擁護者,He is the world champion.,She is a champion of human rights.
charm,n./v.,charm- spell,魅力; 符咒; 吸引,She has a lot of charm.,He was charmed by her beauty.
chat,n./v.,chat- talk,聊天; 閒談; 聊天,They had a long chat.,She chatted with her friends.
cheek,n.,cheek- side of face,臉頰; 面頰,He kissed her on the cheek.,Rosy cheeks.
cheerful,adj.,cheer- cheer; -ful full of,愉快的; 快樂的,He has a cheerful disposition.,A cheerful smile.
cherry,n./adj.,cherry- fruit,櫻桃; 櫻桃色的,She ate a cherry.,Cherry pie.
chest,n.,chest- box,胸部; 箱子,He has a broad chest.,A treasure chest.
chill,n./v./adj.,chill- cold,寒冷; 寒意; 使變冷; 寒冷的,He felt a chill in the air.,The cold wind chilled him.
chilly,adj.,chill- cold; -y full of,寒冷的; 涼爽的,The weather was chilly.,A chilly morning.
chimney,n.,chimney- fireplace,煙囪; 煙道,Smoke rose from the chimney.,A brick chimney.
chin,n.,chin- jaw,下巴; 下頜,He rested his chin on his hand.,A double chin.
chip,n./v.,chip- cut,碎片; 薯片; 削,He chipped the glass.,A computer chip.
chop,n./v.,chop- cut,砍; 剁; 排骨,He chopped the wood.,A pork chop.
cigarette,n.,cigar- tobacco; -ette- small,香菸; 紙菸,He smoked a cigarette.,A pack of cigarettes.
cinema,n.,cine- movement,電影院; 電影,They went to the cinema.,French cinema.
circus,n.,circ- circle,馬戲團; 馬戲,They went to the circus.,The circus came to town.
citizen,n.,cit- citizen,公民; 市民,He is a citizen of the United States.,A responsible citizen.
civil,adj.,civ- citizen,公民的; 文明的,Civil rights are important.,Civil engineering.
clay,n.,clay- earth,黏土; 泥土,The pottery is made of clay.,Clay soil.
cleaner,n.,clean- clean; -er person,清潔工; 清潔劑,He works as a cleaner.,A window cleaner.
client,n.,client- follower,客戶; 委託人,He met with his client.,A loyal client.
clinic,n.,clin- bed,診所; 門診部,He went to the clinic for a checkup.,A dental clinic.
clip,n./v.,clip- cut,夾子; 剪輯; 夾住,He used a clip to hold the papers together.,She clipped her hair.
closet,n.,close- close,壁櫥; 衣櫃,He hung his clothes in the closet.,A walk-in closet.
clothe,v.,cloth- cloth,給...穿衣; 覆蓋,She clothed the children.,The trees were clothed in green.
clown,n./v.,clown- rustic,小丑; 扮小丑,The clown made the children laugh.,He clowned around.
clue,n.,clue- ball of thread,線索; 提示,The police found a clue.,He gave her a clue.
coach,n./v.,coach- carriage,教練; 長途汽車; 訓練,He is a football coach.,They traveled by coach.
cock,n.,cock- male bird,公雞; 雄鳥,The cock crowed.,A weathercock.
cocktail,n.,cock- cock; tail- tail,雞尾酒,He ordered a cocktail.,A cocktail party.
coconut,n.,coco- monkey; nut- nut,椰子,She drank coconut water.,Coconut oil.
collar,n.,collar- neck,衣領; 項圈,He wore a white collar shirt.,The dog's collar.
collection,n.,col- together; -lect- gather; -ion act/state of,收集; 收藏品,He has a large stamp collection.,The art collection.
colony,n.,colon- inhabit; -y result of,殖民地; 聚居地,The country was a British colony.,An ant colony.
colorful,adj.,color- color; -ful full of,色彩鮮豔的; 多姿多彩的,The painting is very colorful.,A colorful personality.
column,n.,column- pillar,柱子; 專欄,The building has stone columns.,He writes a weekly column.
comfort,n./v.,com- together; -fort- strong,舒適; 安慰; 安慰,He found comfort in her words.,She comforted the crying child.
comma,n.,com- together; -ma- cut,逗號,He forgot to put a comma.,A comma separates clauses.
committee,n.,com- together; -mit- send; -tee- person,委員會,The committee met last night.,A special committee.
communicate,v.,com- together; -mun- common; -icate make/cause to be,交流; 溝通,They communicated by email.,He communicated his ideas.
comparison,n.,com- together; -par- equal; -ion act/state of,比較; 對比,"In comparison to him, she is very tall.",A comparison of the two products.
compete,v.,com- together; -pet- seek,競爭; 比賽,He competed in the race.,They competed for the prize.
complain,v.,com- together; -plain- lament,抱怨; 投訴,He complained about the food.,She complained to the manager.
complaint,n.,com- together; -plain- lament; -t result,抱怨; 投訴,He made a complaint about the service.,A customer complaint.
concert,n.,con- together; -cert- contend,音樂會; 演奏會,They went to a concert.,A rock concert.
conclusion,n.,con- together; -clus- shut; -ion act/state of,結論; 結束,He reached a conclusion.,The conclusion of the book.
cone,n.,cone- cone,圓錐體; 錐形物,An ice cream cone.,Traffic cones.
confirm,v.,con- together; -firm- firm,確認; 證實,He confirmed his reservation.,The news was confirmed.
confuse,v.,con- together; -fus- pour,使困惑; 使混亂,His explanation confused me.,The two words are often confused.
connect,v.,con- together; -nect- bind,連接; 聯繫,He connected the wires.,They connected with each other.
conscious,adj.,con- together; -sci- know; -ous full of,有意識的; 清醒的,He was conscious of her presence.,She was conscious of her mistakes.
considerable,adj.,con- together; -sider- star; -able capable of,相當大的; 重要的,He made a considerable amount of money.,A considerable amount of time.
constant,adj./n.,con- together; -stan- stand; -t result,不變的; 持續的; 常數,He is in constant pain.,The constant noise.
continent,n.,con- together; -tin- hold; -ent being,大陸; 洲,Africa is a continent.,The European continent.
controller,n.,con- together; -trol- roll; -er person,控制器; 管理員,He works as an air traffic controller.,The game controller.
cooker,n.,cook- cook; -er person,炊具; 烹飪用具,She bought a new rice cooker.,A pressure cooker.
costly,adj.,cost- cost; -ly like,昂貴的; 代價高的,The mistake proved costly.,A costly error.
cotton,n.,cotton- plant,棉花; 棉布,The shirt is made of cotton.,Cotton fields.
cough,n./v.,cough- sound,咳嗽; 咳嗽,He had a bad cough.,She coughed loudly.
countable,adj.,count- count; -able capable of,可數的,Apples are countable nouns.,Countable and uncountable nouns.
county,n.,count- count,縣; 郡,He lives in a small county.,The county seat.
crab,n.,crab- crustacean,螃蟹,He ate a crab.,A crab walked sideways.
cradle,n./v.,cradle- bed,搖籃; 發源地; 搖,The baby slept in the cradle.,The cradle of civilization.
crane,n./v.,crane- bird,起重機; 鶴; 伸長脖子,The crane lifted the heavy load.,A crane flew overhead.
crash,n./v.,crash- sound,碰撞; 墜毀; 崩潰,The car crashed into a tree.,The stock market crashed.
crawl,v./n.,crawl- creep,爬行; 緩慢移動; 爬行,The baby crawled across the floor.,The traffic crawled.
creative,adj.,creat- create; -ive tending to,有創造力的; 創造性的,He is a creative artist.,Creative thinking.
creator,n.,creat- create; -or agent,創造者; 創作者,He is the creator of the universe.,The creator of the game.
creature,n.,creat- create; -ure act/state of,生物; 動物,Many strange creatures live in the ocean.,A mythical creature.
credit,n./v.,cred- believe,信用; 讚揚; 相信,He has good credit.,She received credit for her work.
crew,n.,crew- crowd,全體船員; 全體工作人員,The ship's crew.,The film crew.
cricket,n.,cricket- insect,蟋蟀; 板球,The cricket chirped.,He plays cricket.
criminal,adj./n.,crim- crime; -in- pertaining to; -al pertaining to,犯罪的; 罪犯,He has a criminal record.,A criminal investigation.
crispy,adj.,crisp- crisp; -y full of,脆的; 鬆脆的,The bacon was crispy.,Crispy fried chicken.
crop,n./v.,crop- cut,莊稼; 作物; 收割,The farmer harvested his crops.,He cropped the photo.
crown,n./v.,crown- head,王冠; 皇冠; 加冕,The queen wore a crown.,He was crowned king.
cruel,adj.,cruel- harsh,殘忍的; 殘酷的,He is a cruel man.,A cruel joke.
cupboard,n.,cup- cup; board- board,碗櫃; 櫥櫃,She put the dishes in the cupboard.,A kitchen cupboard.
dairy,n.,dairy- milk,奶製品; 奶牛場,He works on a dairy farm.,Dairy products.
dam,n./v.,dam- barrier,水壩; 堤壩; 築壩,They built a dam across the river.,The dam holds back the water.
dare,aux./v.,dare- challenge,敢; 膽敢,How dare you!,He dared her to jump.
darling,n./adj.,dear- dear; -ling- small,親愛的; 可愛的; 親愛的,She is my darling daughter.,"My darling, I love you."
dash,n./v.,dash- strike,衝刺; 猛衝; 衝,He made a dash for the door.,She dashed out of the room.
database,n.,data- data; base- base,數據庫,He stored the information in a database.,A large database.
dawn,n./v.,dawn- daybreak,黎明; 拂曉; 破曉,They woke up at dawn.,The new day dawned.
dealer,n.,deal- deal; -er person,經銷商; 交易商,He is a car dealer.,An art dealer.
decade,n.,dec- ten,十年,The 1990s was a decade of change.,A decade ago.
deck,n.,deck- cover,甲板; 牌組,He stood on the deck of the ship.,A deck of cards.
decorate,v.,de- down/away; -cor- adorn; -ate make/cause to be,裝飾; 佈置,They decorated the Christmas tree.,She decorated the room.
decrease,v./n.,de- down/away; -crease- grow,減少; 減小; 減少,The population decreased.,A decrease in sales.
deed,n.,deed- act,行為; 行動; 契約,He performed a good deed.,A heroic deed.
deepen,v.,deep- deep; -en make,加深; 變深,The crisis deepened.,His voice deepened.
definition,n.,de- down/away; -fin- end; -ition act/state of,定義; 解釋,He gave a clear definition.,The definition of the word.
democracy,n.,dem- people; -cracy- rule,民主; 民主制度,The country is a democracy.,He believes in democracy.
democratic,adj.,dem- people; -crat- rule; -ic pertaining to,民主的; 民主主義的,A democratic government.,Democratic principles.
deposit,n./v.,de- down/away; -pos- put,存款; 押金; 存放,He made a deposit in his bank account.,She deposited the money.
designer,n.,de- down/away; -sign- mark; -er person,設計師; 設計者,He is a fashion designer.,A graphic designer.
desirable,adj.,de- down/away; -sire- wish; -able capable of,可取的; 值得擁有的,It is a desirable property.,A desirable outcome.
desire,n./v.,de- down/away; -sire- wish,慾望; 渴望; 渴望,He has a strong desire for success.,She desired to travel.
dessert,n.,des- away; -sert- serve,甜點; 餐後甜點,She ordered dessert.,Chocolate dessert.
destroy,v.,de- down/away; -struct- build,摧毀; 破壞,The fire destroyed the building.,The war destroyed the city.
detect,v.,de- down/away; -tect- cover,偵查; 發現,The police detected a strange smell.,He detected a lie.
determine,v.,de- down/away; -termin- limit,決定; 確定,He determined to succeed.,The factors that determine success.
devil,n.,devil- demon,魔鬼; 惡魔,He believes in the devil.,The devil is in the details.
dim,adj./v.,dim- dark,昏暗的; 模糊的; 使變暗,The light was dim.,The lights dimmed.
dime,n.,dime- tenth,一角硬幣,He found a dime on the street.,A ten-cent dime.
dine,v.,dine- eat,用餐; 進餐,They dined at a fancy restaurant.,He dined with his friends.
dinosaur,n.,dino- terrible; -saur- lizard,恐龍,Dinosaurs lived millions of years ago.,A dinosaur skeleton.
dip,v./n.,dip- immerse,浸; 蘸; 下降,He dipped his toe in the water.,The stock market took a dip.
dirt,n.,dirt- filth,泥土; 汙垢,His clothes were covered in dirt.,Clean up the dirt.
discount,n./v.,dis- not; count- count,折扣; 打折; 打折,He received a discount on the price.,They discounted the goods.
dishonest,adj.,dis- not; honest- honest,不誠實的; 欺詐的,He is a dishonest person.,A dishonest act.
disk/disc,n.,disk- plate,磁盤; 光盤,He saved the file to a disk.,A compact disc.
dislike,v./n.,dis- not; like- like,不喜歡; 厭惡; 不喜歡,She disliked his attitude.,He has a strong dislike for spiders.
ditch,n./v.,ditch- trench,溝; 壕溝; 拋棄,He fell into the ditch.,They ditched the car.
dive,n./v.,dive- plunge,跳水; 潛水; 跳水,He took a dive into the pool.,The submarine dived.
dizzy,adj.,dizzy- confused,頭暈的; 眩暈的,He felt dizzy.,The dizzy heights.
dock,n./v.,dock- pier,碼頭; 船塢; 停靠,The ship docked at the pier.,The boat docked.
dolphin,n.,dolphin- fish,海豚,Dolphins are intelligent animals.,A school of dolphins.
donkey,n.,donkey- ass,驢,He rode a donkey.,As stubborn as a donkey.
dose,n./v.,dose- give,劑量; 一劑; 服用,He took a dose of medicine.,The doctor dosed him.
doubtful,adj.,doubt- doubt; -ful full of,懷疑的; 可疑的,He was doubtful about her story.,A doubtful outcome.
doughnut,n.,dough- dough; nut- nut,甜甜圈; 炸面圈,She ate a doughnut.,A chocolate doughnut.
downtown,adj./adv./n.,down- down; town- town,市中心的; 在市中心; 市中心,He works downtown.,They went downtown.
drag,v./n.,drag- pull,拖; 拉; 拖累,He dragged the heavy box.,The drag of the current.
dragonfly,n.,dragon- dragon; fly- fly,蜻蜓,A dragonfly landed on the leaf.,Dragonflies have large wings.
drain,v./n.,drain- flow,排水; 耗盡; 排水管,He drained the water from the tub.,The drain was clogged.
dramatic,adj.,drama- drama; -tic pertaining to,戲劇性的; 引人注目的,He made a dramatic entrance.,A dramatic change.
drip,n./v.,drip- drop,滴; 滴水; 滴水聲,The faucet dripped.,He heard a drip.
drown,v.,drown- sink,淹死; 溺死,He drowned in the river.,She almost drowned.
drugstore,n.,drug- drug; store- store,藥店; 藥房,He bought medicine at the drugstore.,A 24-hour drugstore.
drunk,adj./n.,drink- drink,醉的; 醉漢,He was drunk.,A drunk driver.
dumb,adj.,dumb- silent,啞的; 愚蠢的,He was struck dumb.,A dumb question.
dump,v./n.,dump- throw,傾倒; 丟棄; 垃圾場,He dumped the garbage.,A garbage dump.
dumpling,n.,dump- throw; -ling- small,餃子; 糰子,She made some dumplings.,Pork dumplings.
dust,n./v.,dust- powder,灰塵; 塵土; 拂去灰塵,The room was covered in dust.,She dusted the furniture.
eager,adj.,eager- keen,渴望的; 熱切的,He was eager to learn.,She was eager to please.
echo,n./v.,echo- sound,回聲; 迴響; 迴響,He heard an echo in the cave.,Her words echoed in his mind.
edit,v.,edit- publish,編輯; 校訂,He edited the book.,She edited the video.
editor,n.,edit- publish; -or agent,編輯; 主編,He works as an editor.,The newspaper editor.
educate,v.,e- out; -duc- lead; -ate make/cause to be,教育; 培養,They educate children.,He was educated at Harvard.
educational,adj.,e- out; -duc- lead; -ation act/state of; -al pertaining to,教育的; 有教育意義的,Educational programs.,Educational toys.
efficient,adj.,ef- out; -fic- make; -ient being,效率高的; 有能力的,He is an efficient worker.,An efficient system.
elbow,n./v.,elbow- arm,肘部; 用肘推,He bumped his elbow.,She elbowed her way through the crowd.
elderly,adj.,elder- old; -ly like,年老的; 老年的,He helps the elderly.,Elderly people.
elect,v./adj.,e- out; -lect- choose,選舉; 選出; 當選的,They elected him president.,The elected officials.
election,n.,e- out; -lect- choose; -ion act/state of,選舉; 當選,The presidential election.,He won the election.
electricity,n.,electr- electricity; -ity state/quality,電; 電力,The house has electricity.,Generate electricity.
electronic,adj.,electr- electricity; -ic pertaining to,電子的; 電子學的,Electronic devices are common.,Electronic music.
element,n.,element- basic part,元素; 要素; 成分,Water is composed of hydrogen and oxygen elements.,The elements of a good story.
elevator,n.,e- out; -lev- light; -ator agent,電梯; 升降機,He took the elevator to the 10th floor.,The elevator is broken.
emergency,n.,e- out; -merg- dip; -ency state/quality,緊急情況; 突發事件,He called 911 in an emergency.,An emergency exit.
emotional,adj.,e- out; -mov- move; -ion act/state of; -al pertaining to,情感的; 情緒化的,He is an emotional person.,Emotional support.
emperor,n.,em- in; -per- command; -or agent,皇帝; 君主,The Roman emperor.,The emperor ruled the empire.
enable,v.,en- in; able- able,使能夠; 允許,The new software will enable you to work faster.,This will enable us to finish on time.
energetic,adj.,en- in; -erg- work; -etic pertaining to,精力充沛的; 有活力的,He is an energetic person.,An energetic performance.
engage(ment),v./(n.),en- in; -gage- pledge; -ment result of,從事; 訂婚; 約定,He engaged in a conversation.,Their engagement was announced.
