單字,詞性,詞根,中文解釋,例句1,例句2
affirm,v.,af- to/toward; -firm- firm,斷言; 肯定,She affirmed her commitment to the project.,He affirmed that the statement was true.
airtight,adj.,air- air; tight- close,密封的; 無懈可擊的,The container is airtight.,They had an airtight alibi.
airway,n.,air- air; way- path,航線; 呼吸道,The plane flew along a designated airway.,His airway was blocked.
algebra,n.,al- the; -jabr- reunion of broken parts,代數,She is good at algebra.,Algebra is a branch of mathematics.
alienate,v.,alien- other; -ate make/cause to be,疏遠; 離間,His rude behavior alienated his friends.,The new policy alienated many voters.
align,v.,a- to/toward; -lign- line,使對齊; 使一致,Align the edges of the paper.,The company's goals align with his personal values.
allege,v.,al- to/toward; -leg- send/appoint,聲稱; 斷言,He alleged that he had been unfairly dismissed.,The police alleged that she was involved in the crime.
alligator,n.,alligator- lizard,短吻鱷,We saw an alligator in the swamp.,Alligators are native to the southeastern United States.
altitude,n.,alt- high; -itude state/quality,海拔; 高度,"The plane reached an altitude of 30,000 feet.",They climbed to a high altitude.
aluminum,n.,alumen- alum,鋁,The can is made of aluminum.,Aluminum is a lightweight metal.
ambiguity,n.,ambi- both; -ag- drive; -uity state/quality,模糊; 歧義,There was some ambiguity in his statement.,The ambiguity of the law made it difficult to interpret.
amid/amidst,prep.,a- in; mid- middle,在...之中,He stood amid the crowd.,"Amidst the chaos, she remained calm."
amplify,v.,ampl- large; -fy make,放大; 增強,The microphone amplified his voice.,They amplified their efforts to raise money.
analogy,n.,ana- up/back; -log- word/reason; -y result of,類比; 相似,He drew an analogy between the brain and a computer.,The teacher used an analogy to explain the concept.
analytical,adj.,ana- up/back; -lyt- loosen; -ical pertaining to,分析的; 善於分析的,She has a very analytical mind.,The report provides an analytical overview.
anchor,n./v.,ancor- hook,錨; 拋錨,The ship dropped anchor.,He anchored the boat to the dock.
animate,v./adj.,anim- life/spirit; -ate make/cause to be,使有生氣; 活的,He tried to animate the discussion.,The animated film was very popular.
annoyance,n.,an- to/toward; -noy- harm; -ance state/quality,煩惱; 令人煩惱的事,His constant humming was an annoyance.,She expressed her annoyance at the delay.
anthem,n.,anti- against; -hymn- song,國歌; 頌歌,The crowd stood for the national anthem.,The song became an anthem for a generation.
antibiotic,n./adj.,anti- against; bio- life; -tic pertaining to,抗生素; 抗生素的,The doctor prescribed antibiotics for the infection.,Antibiotic resistance is a serious problem.
anticipation,n.,anti- before; -cip- take; -ation act/state of,預期; 盼望,She waited in anticipation for his arrival.,There was a sense of anticipation in the air.
antonym,n.,anti- against; -onym- name,反義詞,Hot is an antonym of cold.,He learned a list of synonyms and antonyms.
applaud,v.,ap- to/toward; -plaud- clap,鼓掌; 稱讚,The audience applauded loudly.,We applaud your efforts.
applicable,adj.,ap- to/toward; -plic- fold; -able capable of,適用的; 合適的,The rules are applicable to all employees.,This law is not applicable in your case.
apprentice,n.,ap- to/toward; -prent- learn,學徒; 徒弟,He worked as an apprentice to a carpenter.,She started her career as an apprentice.
approximate,adj./v.,ap- to/toward; -proxim- nearest; -ate make/cause to be,大約的; 接近,The approximate cost is $100.,We need to approximate the total number.
archaeology,n.,archaeo- ancient; -logy study of,考古學,She is studying archaeology at university.,Archaeology helps us understand the past.
archive,n.,arch- rule/government,檔案; 存檔,The old documents are kept in the archive.,We need to archive these files.
arithmetic,n./adj.,arithm- number; -tic pertaining to,算術; 算術的,He is good at arithmetic.,Arithmetic is a basic skill.
ascend,v.,a- to/toward; -scend- climb,上升; 攀登,The path ascends steeply.,He ascended the throne.
aspire,v.,a- to/toward; -spir- breathe,渴望; 追求,She aspires to be a doctor.,He aspires to greatness.
assassinate,v.,assassin- murderer; -ate make/cause to be,暗殺,The president was assassinated.,They plotted to assassinate the king.
asthma,n.,asthma- panting,哮喘,She suffers from asthma.,Asthma can be triggered by allergies.
astray,adv./adj.,a- on; stray- wander,迷路; 誤入歧途,The sheep went astray.,He was led astray by bad company.
astronaut,n.,astro- star; -naut- sailor,宇航員,The astronaut orbited the Earth.,She dreams of becoming an astronaut.
astronomer,n.,astro- star; -nom- law/order; -er person,天文學家,Astronomers study the stars and planets.,He is a famous astronomer.
astronomy,n.,astro- star; -nom- law/order; -y result of,天文學,Astronomy is a fascinating subject.,She has a keen interest in astronomy.
attain(ment),v./(n.),at- to/toward; -tain- hold,達到; 獲得,He attained his goal.,The attainment of peace is a difficult task.
attendant,n.,at- to/toward; -tend- stretch; -ant person,服務員; 隨從,A flight attendant helped her.,He had several attendants.
audit,n.,aud- hear,審計; 查賬,The company is undergoing an audit.,They conducted an audit of the financial records.
auditorium,n.,aud- hear; -orium place,禮堂; 觀眾席,The lecture was held in the main auditorium.,The auditorium was packed with people.
avert,v.,a- away; -vert- turn,避開; 防止,She averted her gaze.,They managed to avert a crisis.
aviation,n.,avi- bird; -ation act/state of,航空; 飛行,He has a passion for aviation.,Aviation technology has advanced rapidly.
awesome,adj.,awe- fear/wonder; -some full of,令人敬畏的; 極好的,The view was awesome.,He did an awesome job.
awhile,adv.,a- for; while- time,片刻; 一會兒,Please wait awhile.,She rested awhile.
bachelor,n.,bachel- young knight,單身漢; 學士,He is a confirmed bachelor.,She earned her bachelor's degree.
backbone,n.,back- back; bone- bone,脊椎; 骨氣,The backbone supports the body.,He has a strong backbone.
badge,n.,badge- emblem,徽章; 標記,He wore a police badge.,She earned a badge for her achievement.
banquet,n./v.,banquet- small bench,宴會; 宴請,They held a grand banquet.,The king banqueted his guests.
barbarian,adj./n.,barbar- foreign,野蠻的; 野蠻人,The barbarian tribes invaded the empire.,He was accused of barbarian behavior.
bass,n./adj.,bass- low,低音; 低音的,He plays the bass guitar.,The singer has a deep bass voice.
batter,n./v.,batt- beat,麵糊; 連續猛擊,She made pancake batter.,He battered down the door.
beautify,v.,beau- beautiful; -fy make,美化,They beautified the park.,She tried to beautify her room.
beep,n./v.,beep- sound,蜂鳴聲; 發出蜂鳴聲,The car horn gave a loud beep.,The microwave beeped when it was done.
beforehand,adv.,before- before; hand- hand,事先; 提前,I sent the report beforehand.,You should prepare beforehand.
beverage,n.,bever- drink,飲料,Hot beverages are served here.,They offered a variety of beverages.
bilateral,adj.,bi- two; later- side; -al pertaining to,雙邊的; 兩側的,They signed a bilateral agreement.,The talks were bilateral.
blaze,n./v.,blaze- flame,火焰; 燃燒,The fire blazed fiercely.,The sun blazed down on them.
bleach,n./v.,bleach- white,漂白劑; 漂白,She used bleach to whiten her clothes.,The sun bleached the curtains.
blond/blonde,n./adj.,blond- yellow,金髮; 金髮的,She has blond hair.,He is a blond man.
blot,v./n.,blot- stain,弄髒; 汙點,He blotted the ink with a tissue.,There was a blot on his reputation.
blunt,adj./v.,blunt- dull,鈍的; 直言不諱的; 使鈍,The knife is blunt.,He was blunt in his criticism.
bodily,adj./adv.,body- body; -ly like,身體的; 身體上,He suffered bodily harm.,The statue was moved bodily.
booklet,n.,book- book; -let small,小冊子,She handed out a booklet about the museum.,The booklet contains useful information.
bosom,n.,bosom- breast,胸部; 胸懷,She held the child to her bosom.,He confided his secrets to her bosom friend.
boulevard,n.,boule- bulwark; -vard- guard,林蔭大道,They strolled along the boulevard.,The city has wide boulevards.
boxing,n.,box- hit,拳擊,He enjoys watching boxing matches.,Boxing is a demanding sport.
boycott,n./v.,Boycott- Captain Boycott,抵制; 聯合抵制,They organized a boycott of the products.,Consumers boycotted the company's goods.
brace,n./v.,brac- arm,支架; 支撐,He wore a brace on his knee.,She braced herself for the impact.
brassiere/bra,n.,brassiere- arm protector,胸罩,She bought a new brassiere.,She put on her bra.
breadth,n.,broad- broad; -th quality,寬度; 廣度,The breadth of the river was impressive.,He has a great breadth of knowledge.
breakdown,n.,break- break; down- down,故障; 崩潰,The car had a breakdown.,She suffered a nervous breakdown.
breakup,n.,break- break; up- up,分手; 解體,Their breakup was amicable.,The breakup of the Soviet Union.
bribe,n./v.,bribe- piece of bread,賄賂; 行賄,He offered a bribe to the official.,They tried to bribe the judge.
brink,n.,brink- edge,邊緣; 瀕臨,He was on the brink of despair.,The country was on the brink of war.
broaden,v.,broad- broad; -en make,拓寬; 擴大,Travel broadens the mind.,They broadened their product range.
brochure,n.,broch- prick,小冊子,She picked up a travel brochure.,The brochure provides information about the hotel.
broil,v.,broil- roast,烤; 炙,He broiled the steak.,She broiled some chicken.
brook,n.,brook- stream,小溪,A small brook ran through the meadow.,They sat by the brook.
broth,n.,broth- brew,肉湯,She made a chicken broth.,He drank a bowl of hot broth.
brotherhood,n.,brother- brother; -hood state/quality,兄弟情誼; 兄弟會,They shared a strong brotherhood.,The organization promotes brotherhood.
bulky,adj.,bulk- mass; -y full of,龐大的; 笨重的,The package was bulky.,He carried a bulky suitcase.
bureaucrat,n.,bureau- desk; -crat- rule,官僚; 官僚主義者,He complained about the bureaucrats.,The project was delayed by bureaucrats.
bypass,n./v.,by- near; pass- pass,旁道; 繞過,They built a bypass around the town.,We bypassed the traffic jam.
caffeine,n.,caffe- coffee,咖啡因,Coffee contains caffeine.,She tried to reduce her caffeine intake.
calculator,n.,calcul- pebble; -ator agent,計算器,He used a calculator to do the math.,She bought a new calculator.
calligraphy,n.,calli- beautiful; -graphy writing,書法,She is skilled in calligraphy.,He admired the calligraphy.
cape,n.,cap- head,海角; 披風,The ship sailed around the cape.,She wore a cape over her dress.
capsule,n.,caps- box/case,膠囊; 太空艙,He took a capsule for his headache.,The space capsule returned to Earth.
caption,n./v.,capt- take/hold; -ion act/state of,標題; 說明文字; 給...加標題,The photo had a funny caption.,She captioned the picture.
captive,adj./n.,capt- take/hold,被俘的; 俘虜,The captive bird longed for freedom.,They took him captive.
captivity,n.,capt- take/hold; -ivity state/quality,囚禁; 束縛,The animal was born in captivity.,He spent years in captivity.
cardboard,n.,card- card; board- board,硬紙板,The box is made of cardboard.,She cut a shape out of cardboard.
cardinal,n./adj.,cardin- hinge,紅衣主教; 主要的,He is a cardinal in the Catholic Church.,The cardinal rule is to be honest.
carefree,adj.,care- care; free- free,無憂無慮的,She lived a carefree life.,They enjoyed a carefree vacation.
caretaker,n.,care- care; taker- one who takes,看護人; 臨時管理人,The caretaker looks after the building.,She worked as a caretaker for the elderly.
carton,n.,cart- cart,紙箱; 硬紙盒,He bought a carton of milk.,She packed the books in a carton.
cashier,n.,cash- cash; -ier person,收銀員,The cashier rang up her purchases.,He worked as a cashier at the supermarket.
casualty,n.,cas- fall; -ual- happening; -ty state/quality,傷亡人員; 事故,There were many casualties in the accident.,The war resulted in heavy casualties.
catastrophe,n.,cata- down; -strophe- turn,大災難; 浩劫,The earthquake was a catastrophe.,The financial crisis was a catastrophe for many.
cater,v.,cater- provide food,承辦伙食; 迎合,They catered the wedding.,The restaurant caters for vegetarians.
caterpillar,n.,cater- eat; pillar- hairy,毛毛蟲,A caterpillar turned into a butterfly.,The caterpillar crawled on the leaf.
cavity,n.,cav- hollow,洞; 蛀牙,He had a cavity in his tooth.,The dentist filled the cavity.
celery,n.,celery- plant,芹菜,She added celery to the soup.,He chopped some celery.
cellular,adj.,cell- cell; -ular pertaining to,細胞的; 蜂窩狀的,Cellular phones are widely used.,The body is made up of cellular structures.
Celsius,n.,Celsius- Anders Celsius,攝氏度,The temperature is 20 degrees Celsius.,Water freezes at 0 degrees Celsius.
cement,n./v.,caement- cut stone,水泥; 鞏固,They used cement to build the wall.,The experience cemented their friendship.
census,n.,cens- assess,人口普查,The government conducts a census every ten years.,The census provides demographic data.
ceramic,adj./n.,ceram- pottery,陶瓷的; 陶瓷,She bought a ceramic vase.,The museum has a collection of ancient ceramics.
certify,v.,cert- sure; -fy make,證明; 證實,The document was certified as authentic.,He was certified as a qualified teacher.
chairperson/chair/ chairman/ chairwoman,n.,chair- chair; person- person,主席,The chairperson opened the meeting.,She was elected chairwoman of the committee.
champagne,n.,Champagne- region in France,香檳酒,They celebrated with champagne.,He popped open a bottle of champagne.
chant,n./v.,chant- sing,聖歌; 吟唱,The monks chanted their prayers.,The crowd chanted slogans.
charitable,adj.,charit- charity; -able capable of,慈善的; 仁慈的,She is involved in many charitable activities.,He made a charitable donation.
checkup,n.,check- check; up- up,檢查; 體檢,He went for a medical checkup.,She had a regular checkup.
chemist,n.,chem- chemistry; -ist person,化學家; 藥劑師,She is a research chemist.,He works as a chemist in a pharmacy.
chestnut,n./adj.,chest- chest; nut- nut,栗子; 栗色的,She roasted chestnuts over the fire.,He has chestnut hair.
chili,n.,chili- pepper,辣椒,She added chili to the curry.,He likes spicy food with chili.
chimpanzee,n.,chimpanzee- African ape,黑猩猩,Chimpanzees are intelligent animals.,We saw chimpanzees at the zoo.
chirp,n./v.,chirp- sound,啁啾聲; 啁啾,The birds chirped in the trees.,The cricket chirped loudly.
cholesterol,n.,chole- bile; ster- solid; -ol alcohol,膽固醇,He has high cholesterol levels.,Eating healthy can help lower cholesterol.
cigar,n.,cigar- tobacco,雪茄,He smoked a cigar.,The aroma of his cigar filled the room.
civilize,v.,civil- citizen; -ize make,使文明; 教化,They tried to civilize the native tribes.,Education helps to civilize people.
clam,n.,clam- clamp,蛤蜊,She ordered clam chowder.,He dug for clams on the beach.
clasp,v./n.,clasp- embrace,緊握; 釦子,She clasped his hand tightly.,The necklace had a silver clasp.
clearance,n.,clear- clear; -ance state/quality,清除; 間隙; 批准,The store is having a clearance sale.,They got clearance to land.
climax,n./v.,climax- ladder,高潮; 達到高潮,The movie reached its climax.,The tension climaxed in a dramatic confrontation.
clockwise,adv./adj.,clock- clock; wise- way,順時針方向; 順時針的,Turn the knob clockwise.,The hands of a clock move clockwise.
clone,n./v.,clone- twig,克隆; 克隆,Scientists cloned a sheep.,He is a clone of his father.
closure,n.,close- close; -ure act/state of,關閉; 結束,The factory announced its closure.,They sought closure after the tragedy.
coalition,n.,co- together; -al- grow; -ition act/state of,聯盟; 聯合,The parties formed a coalition government.,A coalition of environmental groups.
coastline,n.,coast- coast; line- line,海岸線,The coastline is beautiful.,They explored the rugged coastline.
collision,n.,col- together; -lis- strike; -ion act/state of,碰撞; 衝突,There was a collision between two cars.,The two ideas were on a collision course.
colloquial,adj.,col- together; -loqu- speak; -ial pertaining to,口語的; 通俗的,He used colloquial language.,The book is written in a colloquial style.
comet,n.,comet- long-haired star,彗星,A comet appeared in the night sky.,Halley's Comet is famous.
commonplace,adj./n.,common- common; place- place,司空見慣的; 平凡的事,Such events are commonplace here.,It's a commonplace occurrence.
commonwealth,n.,common- common; wealth- well-being,聯邦; 共和國,The Commonwealth of Nations.,Australia is a commonwealth.
communicative,adj.,com- together; -mun- common; -ic- make; -ative tending to,愛交際的; 健談的,She is a very communicative person.,He is not very communicative about his feelings.
comparative,adj.,com- together; -par- equal; -ative tending to,比較的; 相對的,This is a comparative study.,He made a comparative analysis.
compass,n./v.,com- together; -pass- step,指南針; 羅盤; 圍繞,He used a compass to find his way.,The ship compassed the globe.
compile,v.,com- together; -pil- heap,編譯; 彙編,He compiled a list of names.,The software compiles the code.
complement,v./n.,com- together; -ple- fill; -ment result of,補充; 補充物,The wine complements the meal.,The two colors are a perfect complement.
complexion,n.,com- together; -plex- fold; -ion act/state of,膚色; 面色,She has a fair complexion.,His complexion was pale.
comprehensive,adj.,com- together; -prehens- grasp; -ive tending to,全面的; 綜合的,The report provides a comprehensive overview.,They offer comprehensive insurance.
compute,v.,com- together; -put- think,計算; 估算,The computer computes data rapidly.,He computed the total cost.
computerize,v.,com- together; -put- think; -er agent; -ize make,使計算機化,The office was fully computerized.,They computerized their accounting system.
comrade,n.,com- together; -rad- companion,同志; 戰友,He fought alongside his comrades.,They were comrades in arms.
concession,n.,con- together; -cess- go; -ion act/state of,讓步; 特許,They made a concession to the demands.,The government granted a concession for mining.
concise,adj.,con- together; -cis- cut,簡潔的; 簡明的,His speech was concise and to the point.,She wrote a concise summary.
condense,v.,con- together; -dens- thick,濃縮; 凝結,The steam condensed into water.,He condensed the article into a few paragraphs.
confederation,n.,con- together; -feder- league; -ation act/state of,聯盟; 邦聯,A confederation of states.,The country joined the confederation.
congressman/ congresswoman,n.,con- together; -gress- step; man/woman- person,國會議員,He is a congressman from California.,She is a congresswoman.
conquest,n.,con- together; -quest- seek,征服; 戰利品,The Norman Conquest of England.,He achieved a great conquest.
conscientious,adj.,con- together; -sci- know; -ent- being; -ious full of,認真的; 盡責的,She is a conscientious student.,He is very conscientious about his work.
conserve,v./n.,con- together; -serv- keep,保存; 保護,We need to conserve energy.,Wildlife conservation is important.
consolation,n.,con- together; -sol- comfort; -ation act/state of,安慰; 慰藉,She found consolation in music.,He offered words of consolation.
console,n./v.,con- together; -sol- comfort,控制檯; 安慰,He sat at the console of the computer.,She tried to console him.
consonant,n.,con- together; -son- sound,輔音; 輔音字母,B is a consonant.,The word has three consonants.
conspiracy,n.,con- together; -spir- breathe; -acy state/quality,陰謀; 密謀,They uncovered a conspiracy.,He was involved in a conspiracy.
contention,n.,con- together; -tend- stretch; -ion act/state of,爭論; 論點,The main contention was about money.,It was a point of contention.
contestant,n.,con- together; -test- witness; -ant person,參賽者; 競爭者,She was a contestant in the singing competition.,The contestants lined up.
continuity,n.,con- together; -tin- hold; -uity state/quality,連續性; 持續性,There was a lack of continuity in the story.,They ensured the continuity of service.
contradict,v.,contra- against; -dict- say,反駁; 矛盾,His actions contradict his words.,The two statements contradict each other.
convene,v.,con- together; -ven- come,召集; 集合,The committee convened a meeting.,The delegates convened in the hall.
coral,n./adj.,coral- coral,珊瑚; 珊瑚色的,The coral reef is beautiful.,She wore a coral necklace.
corpse,n.,corp- body,屍體,The police found a corpse.,The corpse was identified.
correspondence,n.,cor- together; -respond- answer; -ence state/quality,通信; 符合,She had a large correspondence with her friends.,There was a correspondence between the two events.
cosmetic,adj.,cosmet- adorn; -ic pertaining to,化妝品的; 美容的,She bought some cosmetic products.,Cosmetic surgery is popular.
cosmetics,n.,cosmet- adorn; -ics art/science,化妝品,She uses natural cosmetics.,He works in the cosmetics industry.
counterpart,n.,counter- against; part- part,對應的人/物,The prime minister met his French counterpart.,The CEO met his counterpart from the rival company.
coupon,n.,coup- cut,優惠券; 票證,She used a coupon to get a discount.,He clipped coupons from the newspaper.
courtyard,n.,court- court; yard- yard,庭院; 院子,The hotel has a beautiful courtyard.,They sat in the courtyard.
cowardly,adj.,coward- coward; -ly like,懦弱的; 膽怯的,He made a cowardly retreat.,It was a cowardly act.
cozy,adj.,cozy- comfortable,舒適的; 愜意的,The room was warm and cozy.,They had a cozy chat.
crackdown,n.,crack- break; down- down,鎮壓; 打擊,The government launched a crackdown on crime.,There was a crackdown on illegal immigration.
cracker,n.,crack- break; -er agent,餅乾; 爆竹,She ate a cracker with cheese.,The children lit firecrackers.
cram,v.,cram- press,塞滿; 死記硬背,He crammed his clothes into the suitcase.,She crammed for the exam.
cramp,n./v.,cramp- hook,痙攣; 束縛,He got a cramp in his leg.,The tight shoes cramped his feet.
crater,n./v.,crater- bowl,火山口; 坑; 形成坑,The meteor left a large crater.,The bomb created a crater.
credible,adj.,cred- believe; -ible capable of,可信的; 可靠的,He gave a credible explanation.,The witness was not credible.
crocodile,n.,crocodil- lizard,鱷魚,We saw a crocodile in the river.,Crocodiles are dangerous animals.
crossing,n.,cross- cross; -ing act/state of,交叉口; 橫渡,Be careful at the railway crossing.,They made a safe crossing of the river.
crutch,n.,crutch- support,柺杖; 支撐,He walked with crutches.,She used a crutch to support her argument.
cub,n.,cub- young animal,幼獸; 幼崽,A lion cub played with its mother.,The bear cub was adorable.
cucumber,n.,cucum- gourd,黃瓜,She sliced a cucumber for the salad.,He grew cucumbers in his garden.
cultivate,v.,cult- till; -ate make/cause to be,耕種; 培養,They cultivate rice in the fields.,She cultivated a love of reading in her children.
cumulative,adj.,cumul- heap; -ative tending to,累積的; 漸增的,The cumulative effect of pollution is harmful.,The cumulative score was very high.
curb,n./v.,curb- restrain,路緣; 抑制,He parked his car at the curb.,They tried to curb inflation.
curfew,n.,couvre-feu- cover fire,宵禁; 宵禁時間,The city imposed a curfew.,He had to be home before curfew.
curry,n.,curry- spice,咖喱,She cooked a chicken curry.,He loves Indian curry.
customary,adj.,custom- custom; -ary pertaining to,習慣的; 慣常的,It is customary to shake hands.,It was a customary greeting.
cynical,adj.,cynic- dog-like; -al pertaining to,憤世嫉俗的; 懷疑的,He has a cynical view of politics.,She was cynical about his motives.
dazzle,v./n.,dazzle- daze,使眼花繚亂; 耀眼,The bright lights dazzled her.,The diamond had a dazzling sparkle.
deafen,v.,deaf- deaf; -en make,使聾; 震耳欲聾,The loud noise deafened him.,The explosion deafened the crowd.
decisive,adj.,de- down/away; -cis- cut; -ive tending to,決定性的; 果斷的,He made a decisive move.,Her decisive action saved the day.
dedication,n.,de- down/away; -dic- say/proclaim; -ation act/state of,奉獻; 獻身,Her dedication to her work is admirable.,The book was a dedication to his parents.
deduct,v.,de- down/away; -duct- lead,扣除; 減去,They will deduct the tax from your salary.,He deducted the expenses from his income.
deem,v.,deem- judge,認為; 視為,They deemed it necessary to take action.,He was deemed innocent.
default,n./v.,de- down/away; -fault- fail,違約; 默認; 拖欠,He defaulted on his loan.,The computer's default setting is English.
defect,n./v.,de- down/away; -fect- make,缺陷; 缺點; 叛變,The product had a defect.,He defected to the enemy.
defiance,n.,de- down/away; -fi- trust; -ance state/quality,反抗; 蔑視,She showed defiance in the face of danger.,His defiance angered the authorities.
definitive,adj.,de- down/away; -fin- end; -itive tending to,決定性的; 明確的,This is the definitive edition of the book.,He gave a definitive answer.
dental,adj.,dent- tooth; -al pertaining to,牙齒的; 牙科的,She has a dental appointment.,He works in the dental profession.
deplete,v.,de- down/away; -ple- fill,耗盡; 減少,They depleted their savings.,The war depleted their resources.
deprive,v.,de- down/away; -priv- separate,剝奪; 使喪失,They were deprived of their rights.,The lack of sleep deprived him of energy.
descent,n.,de- down/away; -scend- climb,下降; 血統,The plane began its descent.,He is of French descent.
despise,v.,de- down/away; -spise- look,鄙視; 蔑視,She despised him for his cruelty.,He despised hypocrisy.
destined,adj.,de- down/away; -stin- stand,註定的; 命定的,He was destined for greatness.,They were destined to meet.
detach,v.,de- down/away; -tach- fasten,分離; 拆開,Detach the trailer from the car.,He detached himself from the group.
detain,v.,de- down/away; -tain- hold,拘留; 耽擱,The police detained him for questioning.,The bad weather detained them.
detention,n.,de- down/away; -tent- hold; -ion act/state of,拘留; 監禁,He was held in detention.,The students were given detention.
deter,v.,de- down/away; -terr- frighten,阻止; 威懾,The fence deterred intruders.,The harsh punishment deterred others.
detergent,n.,de- down/away; -terg- wipe; -ent agent,洗滌劑; 去汙劑,She used a strong detergent to clean the floor.,He bought a new bottle of detergent.
devour,v.,de- down/away; -vour- eat,吞食; 狼吞虎嚥,The hungry animal devoured its prey.,He devoured the book in one sitting.
diabetes,n.,dia- through; -betes- go,糖尿病,She suffers from diabetes.,Diabetes is a serious disease.
dictate,v.,dict- say,口述; 命令,He dictated a letter to his secretary.,The government dictated the terms of the agreement.
dictation,n.,dict- say; -ation act/state of,口述; 聽寫,She took dictation from her boss.,The students practiced dictation.
dictator,n.,dict- say; -ator agent,獨裁者,He was a ruthless dictator.,The country was ruled by a dictator.
dictatorship,n.,dict- say; -ator agent; -ship state/quality,獨裁統治; 獨裁政權,The country was under a dictatorship.,They lived under a military dictatorship.
diesel,n.,Diesel- Rudolf Diesel,柴油; 柴油機,The truck runs on diesel.,Diesel engines are efficient.
differentiate,v.,dif- apart; -fer- carry; -ent- being; -iate make/cause to be,區分; 區別,It's hard to differentiate between the two brands.,He differentiated his product from competitors.
diplomacy,n.,diploma- folded paper; -acy state/quality,外交; 外交手腕,She is skilled in diplomacy.,He handled the situation with diplomacy.
directive,n.,di- apart; -rect- straight; -ive tending to,指令; 命令,The manager issued a new directive.,They followed the directive.
disable,v.,dis- not; able- able,使殘廢; 使喪失能力,The accident disabled him.,The virus disabled the computer.
disastrous,adj.,dis- not; aster- star; -ous full of,災難性的; 悲慘的,The experiment was a disastrous failure.,The war had disastrous consequences.
disbelief,n.,dis- not; belief- belief,不相信; 懷疑,She stared at him in disbelief.,He shook his head in disbelief.
discard,v./n.,dis- apart; card- card,丟棄; 廢棄物,He discarded the old clothes.,The discarded items were piled up.
discharge,n./v.,dis- apart; charge- load,排放; 釋放; 解僱,The factory discharged waste into the river.,He was discharged from the hospital.
