單字,詞性,詞根,中文解釋,例句1,例句2
apartment,n.,ap- to/toward; -part- part; -ment result of,公寓; 公寓房,He lives in an apartment.,A spacious apartment.
appear,v.,ap- to/toward; -par- appear,出現; 似乎,He appeared suddenly.,He appears to be happy.
apple,n.,apple- fruit,蘋果,She ate an apple.,A red apple.
area,n.,area- open space,區域; 地區; 面積,The area is safe.,The living area.
arm,n./v.,arm- limb,手臂; 武器; 武裝,He raised his arm.,The country is arming itself.
around,prep./adv.,a- on; round- round,在...周圍; 大約; 到處,He walked around the table.,It's around 10 o'clock.
arrive,v.,ar- to/toward; -riv- shore,到達; 抵達,He arrived at the airport.,The train arrived late.
art,n.,art- skill,藝術; 美術,He studies art.,Modern art.
as,conj./adv./prep.,as- like,如同; 作為; 像,He is as tall as his father.,He works as a teacher.
ask,v.,ask- question,問; 請求,He asked a question.,She asked him for help.
at,prep.,at- near,在; 在...方面,He is at home.,She is good at math.
attack,n./v.,at- to/toward; -tack- strike,攻擊; 襲擊; 攻擊,The army launched an attack.,They attacked the enemy.
aunt,n.,aunt- relative,阿姨; 姑姑; 姨媽,My aunt lives in London.,His aunt is kind.
away,adv.,a- on; way- way,離開; 遠離,He went away.,Stay away from me.
baby,n.,baby- infant,嬰兒; 寶貝,The baby is crying.,A cute baby.
back,adv./n./v./adj.,back- rear,後面; 背部; 返回; 後面的,He went back home.,My back hurts.
bad,adj.,bad- evil,壞的; 糟糕的,He is a bad boy.,A bad idea.
bag,n.,bag- sack,包; 袋子,He carried a bag.,A shopping bag.
ball,n./v.,ball- sphere,球; 舞會; 玩球,He kicked the ball.,They danced at the ball.
banana,n.,banana- fruit,香蕉,She ate a banana.,A yellow banana.
band,n.,band- strip,樂隊; 樂隊; 束縛,He plays in a band.,A rubber band.
bank,n./v.,bank- bench,銀行; 河岸; 存錢,He works at a bank.,The river bank.
baseball,n.,base- base; ball- ball,棒球,He plays baseball.,A baseball game.
basket,n.,basket- container,籃子; 筐,She put the apples in a basket.,A picnic basket.
basketball,n.,basket- basket; ball- ball,籃球,He plays basketball.,A basketball game.
bat,n./v.,bat- stick,蝙蝠; 球棒; 擊打,A bat flew out of the cave.,He hit the ball with a bat.
bath,n.,bath- wash,洗澡; 浴缸,He took a bath.,A hot bath.
bathroom,n.,bath- wash; room- room,浴室; 廁所,He went to the bathroom.,A clean bathroom.
be,v./aux.,be- exist,是; 存在; 成為,I am a student.,He is happy.
beach,n./v.,beach- shore,海灘; 沙灘; 擱淺,They walked on the beach.,The boat beached.
bean,n.,bean- seed,豆子; 豆,He ate some beans.,Green beans.
bear,v./n.,bear- carry,忍受; 承擔; 熊,He can't bear the pain.,A brown bear.
beautiful,adj.,beau- beautiful; -ful full of,美麗的; 漂亮的,She is a beautiful woman.,A beautiful flower.
because,conj.,be- by; cause- cause,因為; 由於,He was late because of the traffic.,I love you because you are kind.
become,v.,be- by; come- come,成為; 變成,He became a doctor.,The weather became cold.
bed,n.,bed- sleep,床; 床鋪,He slept in his bed.,A comfortable bed.
bedroom,n.,bed- bed; room- room,臥室; 寢室,He sleeps in his bedroom.,A small bedroom.
bee,n.,bee- insect,蜜蜂,A bee stung him.,A busy bee.
beef,n.,beef- ox,牛肉,He ate some beef.,Roast beef.
before,prep./conj./adv.,be- by; fore- front,在...之前; 之前; 以前,He came before me.,He left before dinner.
begin,v.,be- by; gin- start,開始; 著手,He began to work.,The movie began at 7 p.m.
behind,prep./adv.,be- by; hind- back,在...後面; 在後面,He stood behind the tree.,He fell behind.
believe,v.,be- by; -lief- believe,相信; 認為,I believe you.,He believes in God.
bell,n.,bell- sound,鈴; 鍾,The bell rang.,A church bell.
belong,v.,be- by; long- long,屬於; 歸屬,The book belongs to me.,He belongs to a club.
below,adv./prep.,be- by; low- low,在下面; 在...下面,He lives on the floor below.,The temperature is below zero.
belt,n./v.,belt- band,皮帶; 腰帶; 系皮帶,He wore a belt.,She belted her dress.
bench,n.,bench- seat,長凳; 工作臺,He sat on the bench.,A park bench.
beside,prep.,be- by; side- side,在...旁邊; 靠近,He sat beside her.,The house is beside the river.
best,adj./adv./v./n.,good- good; -est- superlative,最好的; 最好地; 最好; 最好,He is the best student.,He did his best.
between,prep./adv.,be- by; tween- two,在...之間; 在中間,He sat between them.,The space between the two buildings.
bicycle/bike,n.,bi- two; cycl- circle,自行車,He rides a bicycle.,A mountain bike.
big,adj.,big- large,大的; 巨大的,He has a big house.,A big problem.
bird,n.,bird- animal,鳥,A bird sang in the tree.,A small bird.
bite,n./v.,bite- chew,咬; 叮; 咬傷,The dog bit him.,A mosquito bite.
black,adj./n.,black- dark,黑色的; 黑色,He wore a black suit.,The color black.
blind,adj./v.,blind- unable to see,盲的; 瞎的; 使失明,He is blind.,The light blinded him.
block,n./v.,block- lump,塊; 街區; 堵塞,He lives on the next block.,He blocked the road.
blow,v.,blow- move,吹; 刮; 爆炸,The wind blew hard.,He blew out the candle.
blue,adj./n.,blue- color,藍色的; 藍色,The sky is blue.,The color blue.
boat,n.,boat- vessel,船; 小船,He sailed a boat.,A fishing boat.
body,n.,body- physical form,身體; 軀體,He has a healthy body.,The human body.
book,n./v.,book- written work,書; 預訂; 預訂,He read a book.,She booked a flight.
bored,adj.,bore- weary; -ed past participle,無聊的; 厭煩的,He was bored with the lecture.,She felt bored.
boring,adj.,bore- weary; -ing present participle,無聊的; 乏味的,The movie was boring.,A boring book.
born,adj.,born- produced,出生的; 天生的,He was born in 1990.,She was born a leader.
borrow,v.,borrow- lend,借; 借用,He borrowed a book from the library.,Can I borrow your pen?
boss,n./v.,boss- master,老闆; 上司; 指揮,He is my boss.,She bossed him around.
both,pron./adv./adj.,both- two,兩者; 兩個; 雙方,Both of them are here.,He is both kind and intelligent.
bottle,n./v.,bottle- container,瓶子; 裝瓶,He drank a bottle of water.,She bottled the wine.
bottom,n./adj./v.,bottom- base,底部; 末端; 最低的; 觸底,The bottom of the sea.,He reached the bottom.
bow,n./v.,bow- bend,弓; 鞠躬; 彎腰,He shot an arrow with a bow.,She bowed to the audience.
bowl,n.,bowl- dish,碗; 碗狀物,He ate a bowl of soup.,A wooden bowl.
box,n./v.,box- container,盒子; 箱子; 裝箱,He put the book in a box.,She boxed the gifts.
boy,n.,boy- male child,男孩; 少年,He is a good boy.,A young boy.
brave,adj.,brave- courageous,勇敢的; 勇猛的,He is a brave soldier.,A brave act.
bread,n.,bread- food,麵包,He ate some bread.,A slice of bread.
break,n./v.,break- separate,打破; 休息; 破裂,He broke the glass.,Take a break.
breakfast,n./v.,break- break; fast- fast,早餐; 吃早餐,He ate breakfast.,She had breakfast.
bridge,n./v.,bridge- span,橋; 橋樑; 架橋,The bridge crosses the river.,They bridged the gap.
bright,adj./adv.,bright- shining,明亮的; 聰明的; 明亮地,The sun is bright.,He is a bright student.
bring,v.,bring- carry,帶來; 拿來,Bring me a glass of water.,He brought her flowers.
brother,n.,brother- male sibling,兄弟; 哥哥,He has a brother.,My younger brother.
brown,adj./v./n.,brown- color,棕色的; 褐色; 變成棕色,He has brown hair.,The color brown.
bug,n./v.,bug- insect,蟲子; 故障; 打擾,A bug crawled on the floor.,The computer has a bug.
build,v.,build- construct,建造; 建立,He built a house.,They built a new company.
bus,n.,bus- omnibus,公共汽車; 巴士,He took the bus to school.,A school bus.
business,n.,busy- busy; -ness state/quality,生意; 商業; 事務,He works in business.,A successful business.
busy,adj.,busy- occupied,忙碌的; 繁忙的,He is busy working.,A busy street.
but,conj./prep./adv.,but- except,但是; 除了; 僅僅,He is tall but thin.,Everyone went but me.
butter,n./v.,butter- food,黃油; 塗黃油,She put butter on her bread.,He buttered the toast.
butterfly,n.,butter- butter; fly- fly,蝴蝶,A butterfly flew in the garden.,A beautiful butterfly.
button,n./v.,button- knob,按鈕; 紐扣; 扣上,He pressed the button.,She buttoned her coat.
buy,v./n.,buy- purchase,買; 購買; 購買,He bought a new car.,A good buy.
by,prep./adv.,by- near,在...旁邊; 經過; 乘坐,He stood by the window.,He passed by.
cake,n.,cake- food,蛋糕; 糕點,She baked a cake.,A birthday cake.
call,v./n.,call- shout,打電話; 呼喚; 電話,He called her name.,He received a call.
camera,n.,camera- room,照相機; 攝影機,He took a photo with his camera.,A digital camera.
camp,n./v.,camp- field,營地; 露營; 露營,They set up camp.,He camped in the forest.
can,aux./n./v.,can- be able,能; 會; 罐頭; 裝罐,I can swim.,A can of soda.
cap,n./v.,cap- head,帽子; 蓋子; 戴帽子,He wore a cap.,She capped the bottle.
car,n.,car- vehicle,汽車; 小汽車,He drives a car.,A red car.
card,n.,card- paper,卡片; 紙牌,He sent her a birthday card.,Playing cards.
care,n./v.,care- worry,關心; 照顧; 關心,He takes good care of his dog.,She cares about him.
careful,adj.,care- worry; -ful full of,小心的; 仔細的,Be careful!,He is a careful driver.
carrot,n.,carrot- root,胡蘿蔔,She ate a carrot.,A fresh carrot.
carry,v.,carry- transport,攜帶; 搬運,He carried a bag.,She carried the baby.
case,n./v.,case- box,箱子; 案件; 情況,He packed his suitcase.,The police are investigating the case.
cat,n.,cat- animal,貓,He has a pet cat.,A black cat.
catch,v./n.,catch- seize,抓住; 趕上; 捕獲,He caught the ball.,A good catch.
celebrate,v.,celebr- famous; -ate make/cause to be,慶祝; 慶賀,They celebrated his birthday.,Celebrate Christmas.
cellphone,n.,cell- cell; phone- sound,手機; 移動電話,He talked on his cellphone.,A new cellphone.
cent,n.,cent- hundred,分; 分幣,He paid 50 cents.,A hundred cents.
center,n.,centr- center,中心; 中央,The center of the city.,The shopping center.
certain,adj./pron.,cert- sure,確定的; 肯定的; 某些,I'm certain he will come.,Certain people believe that.
chair,n./v.,chair- seat,椅子; 擔任主席,He sat on a chair.,She chaired the meeting.
chance,n./v.,chance- luck,機會; 可能性; 冒險,He has a good chance of winning.,He chanced upon an old friend.
change,n./v.,change- alter,改變; 變化; 改變,He changed his mind.,The weather changed.
cheap,adj./adv.,cheap- low price,便宜的; 廉價的; 便宜地,The book is cheap.,He bought it cheap.
check,v./n.,check- stop,檢查; 核對; 支票,He checked his email.,He wrote a check.
cheese,n.,cheese- food,奶酪; 乾酪,He ate some cheese.,A slice of cheese.
chicken,n.,chicken- bird,雞; 雞肉,He ate some chicken.,A roasted chicken.
child,n.,child- young person,孩子; 兒童,He has two children.,A small child.
chocolate,n.,choc- chocolate,巧克力,He loves chocolate.,A bar of chocolate.
choice,n./adj.,choose- choose,選擇; 抉擇; 精選的,He made a good choice.,A difficult choice.
choose,v.,choose- select,選擇; 挑選,He chose a book.,Choose wisely.
church,n.,church- building,教堂; 教會,He goes to church every Sunday.,A beautiful church.
circle,n./v.,circ- circle,圓圈; 循環; 圈出,He drew a circle.,The birds circled overhead.
city,n.,city- town,城市; 都市,He lives in a big city.,New York City.
class,n./v.,class- group,班級; 課; 分類,He is in my class.,He teaches a class.
clean,adj./v./adv./n.,clean- pure,乾淨的; 清潔; 乾淨地; 清潔,His room is clean.,He cleaned his room.
clear,adj./v./adv.,clear- bright,清楚的; 明確的; 清除; 清楚地,The sky is clear.,He cleared his throat.
clerk,n.,clerk- scholar,店員; 職員,He works as a clerk.,A bank clerk.
climb,v./n.,climb- ascend,爬; 攀登; 攀登,He climbed the mountain.,A difficult climb.
clock,n.,clock- bell,鍾; 時鐘,The clock is ticking.,A wall clock.
close,adj./adv./v./n.,close- shut,近的; 靠近; 關閉; 結束,He lives close to school.,Close the door.
clothes,n.,cloth- cloth,衣服; 服裝,He bought new clothes.,Clean clothes.
cloud,n.,cloud- vapor,雲; 雲朵,The sky is full of clouds.,A white cloud.
club,n./v.,club- stick,俱樂部; 社團; 棍棒; 擊打,He joined a club.,They clubbed him.
coat,n./v.,coat- cover,外套; 大衣; 覆蓋,He wore a coat.,She coated the cake with icing.
coffee,n.,coffee- drink,咖啡,He drank a cup of coffee.,Black coffee.
cold,adj./n.,cold- low temperature,冷的; 寒冷的; 感冒,The weather is cold.,He caught a cold.
collect,v.,col- together; -lect- gather,收集; 收藏,He collects stamps.,She collected information.
color,n./v.,color- hue,顏色; 塗色,What is your favorite color?,He colored the picture.
come,v.,come- approach,來; 到達,Come here!,He came home.
comfortable,adj.,com- together; -fort- strong; -able capable of,舒適的; 舒服的,The chair is comfortable.,He felt comfortable.
common,adj./n.,com- together; -mon- one,普通的; 常見的; 共同點,He has a common name.,A common interest.
computer,n.,com- together; -put- think; -er agent,電腦; 計算機,He works on a computer.,A personal computer.
convenient,adj.,con- together; -ven- come; -ient being,方便的; 便利的,The store is very convenient.,A convenient location.
cook,v./n.,cook- prepare food,烹飪; 煮飯; 廚師,She cooked dinner.,He is a good cook.
cookie,n.,cook- cook; -ie- small,餅乾; 曲奇,He ate a cookie.,Chocolate chip cookies.
cool,adj./v./n.,cool- cold,涼爽的; 酷的; 冷卻; 涼爽,The weather is cool.,He cooled down.
copy,n./v.,copy- imitate,副本; 拷貝; 複製,He made a copy of the document.,She copied his style.
corner,n.,corn- horn,角落; 街角,He stood in the corner.,The street corner.
correct,adj./v.,cor- together; -rect- straight,正確的; 糾正; 糾正,His answer is correct.,He corrected his mistake.
cost,n./v.,cost- price,費用; 成本; 花費,What is the cost?,The book cost $10.
couch,n./v.,couch- lie,沙發; 躺椅; 躺下,He sat on the couch.,She couched her words carefully.
count,v./n.,count- number,數; 計算; 計數,Count to ten.,He lost count.
country,n.,country- land,國家; 鄉村,He lives in a beautiful country.,The countryside.
course,n./v.,course- run,課程; 路線; 當然,He took a history course.,The golf course.
cousin,n.,cousin- relative,堂兄弟姐妹; 表兄弟姐妹,He is my cousin.,My female cousin.
cover,v./n.,cover- hide,覆蓋; 遮蓋; 封面,He covered himself with a blanket.,The cover of the book.
cow,n.,cow- animal,奶牛; 母牛,The cow grazed in the field.,A dairy cow.
crazy,adj.,crazy- mad,瘋狂的; 狂熱的,He is crazy about her.,A crazy idea.
cross,n./v.,cross- intersect,十字架; 交叉; 穿過,He made the sign of the cross.,He crossed the street.
cry,v./n.,cry- weep,哭泣; 叫喊; 哭聲,She cried loudly.,He heard a cry.
cup,n.,cup- container,杯子; 茶杯,He drank a cup of coffee.,A plastic cup.
cut,v./n.,cut- slice,切; 剪; 傷口,He cut the bread.,A paper cut.
cute,adj.,cute- charming,可愛的; 漂亮的,She has a cute puppy.,A cute baby.
dance,n./v.,dance- move,跳舞; 舞蹈; 跳舞,He loves to dance.,A slow dance.
dangerous,adj.,danger- danger; -ous full of,危險的; 不安全的,The road is dangerous.,A dangerous animal.
dark,adj./n.,dark- absence of light,黑暗的; 深色的; 黑暗,The room was dark.,The dark of night.
date,n./v.,date- time,日期; 約會; 註明日期,What is the date today?,He asked her on a date.
daughter,n.,daughter- female child,女兒,He has a daughter.,His eldest daughter.
day,n.,day- period,天; 白天,Today is a good day.,A sunny day.
dead,adj.,dead- not alive,死的; 死亡的,He is dead.,A dead tree.
deal,n./v.,deal- share,交易; 處理; 分配,He made a good deal.,He dealt with the problem.
dear,adj./n./adv.,dear- beloved,親愛的; 昂貴的; 親愛的人; 親愛地,My dear friend.,The price is dear.
death,n.,die- die; -th quality,死亡; 逝世,His death was a tragedy.,The cause of death.
decide,v.,de- down/away; -cis- cut,決定; 決心,He decided to go.,She decided to stay.
deep,adj./adv.,deep- profound,深的; 深刻的; 深深地,The water is deep.,He thought deeply.
define,v.,de- down/away; -fin- end,定義; 解釋,He defined the term.,She defined her goals.
desk,n.,desk- table,書桌; 辦公桌,He sat at his desk.,A wooden desk.
dictionary,n.,dict- say; -ion- act; -ary- place,字典; 詞典,He looked up the word in the dictionary.,An English dictionary.
die,v.,die- cease to live,死; 死亡,He died last year.,The plants died.
different,adj.,dif- apart; -fer- carry; -ent being,不同的; 差異的,They are different.,A different opinion.
difficult,adj.,dif- apart; -fic- make; -ult- able,困難的; 難的,The task is difficult.,A difficult problem.
dig,v./n.,dig- excavate,挖; 掘; 挖掘,He dug a hole.,A deep dig.
dinner,n.,din- meal,晚餐; 晚飯,He ate dinner.,A delicious dinner.
dirty,adj./v.,dirt- dirt; -y full of,髒的; 弄髒,His clothes are dirty.,He dirtied his hands.
dish,n./v.,dish- plate,盤子; 菜餚; 盛,She washed the dishes.,A delicious dish.
do,aux./v.,do- perform,做; 幹; 實行,What are you doing?,He did his homework.
doctor/doc,n.,doc- teach; -or agent,醫生; 博士,He is a doctor.,A medical doctor.
dog,n.,dog- animal,狗,He has a pet dog.,A loyal dog.
doll,n.,doll- toy,玩偶; 娃娃,She played with her doll.,A beautiful doll.
dollar,n.,dollar- coin,美元; 元,He paid 10 dollars.,A US dollar.
door,n.,door- opening,門; 門口,He opened the door.,A wooden door.
down,adv./prep./adj./n./v.,down- downward,向下; 在...下面; 向下的; 下降; 擊倒,He went down the stairs.,The sun went down.
dozen,n.,doz- twelve,一打; 十二個,He bought a dozen eggs.,A dozen roses.
draw,v./n.,draw- pull,畫; 繪製; 吸引; 平局,He drew a picture.,The game ended in a draw.
dream,n./v.,dream- vision,夢想; 夢; 做夢,He had a strange dream.,She dreamed of flying.
dress,n./v.,dress- clothing,連衣裙; 衣服; 穿衣,She wore a beautiful dress.,She dressed quickly.
drink,v./n.,drink- liquid,喝; 飲料; 喝,He drank water.,A cold drink.
drive,v./n.,drive- propel,駕駛; 驅趕; 驅動; 駕車,He drives a car.,A long drive.
driver,n.,drive- propel; -er person,司機; 駕駛員,He is a good driver.,A bus driver.
drop,v./n.,drop- fall,掉落; 下降; 滴,He dropped the pen.,A drop of water.
drum,n./v.,drum- instrument,鼓; 鼓聲; 敲鼓,He played the drum.,The drum beat.
dry,adj./v.,dry- not wet,乾的; 乾燥的; 弄乾,The clothes are dry.,He dried his hands.
duck,n./v.,duck- bird,鴨子; 鴨肉; 躲避,A duck swam on the pond.,He ducked his head.
during,prep.,dur- hard/last; -ing act/state of,在...期間; 在...時候,He slept during the movie.,During the summer.
each,pron./adj./adv.,each- every,每個; 各自; 各自,Each student has a book.,Each of them.
ear,n.,ear- organ,耳朵,He has big ears.,My ear hurts.
early,adj./adv.,ear- before; -ly like,早的; 早地,He woke up early.,An early bird.
earth,n.,earth- ground,地球; 泥土,The Earth is a planet.,The fertile earth.
east,n./adj./adv.,east- direction,東方; 東方的; 向東,The sun rises in the east.,He lives in the east.
easy,adj.,easy- not difficult,容易的; 輕鬆的,The test was easy.,An easy task.
eat,v.,eat- consume,吃; 吃飯,He ate an apple.,She ate dinner.
egg,n.,egg- food,蛋; 卵,He ate an egg.,A boiled egg.
either,adv./pron./adj./conj.,either- one of two,也; 任何一個; 任何一個; 或者,I don't like it either.,Either you go or I go.
elephant,n.,elephant- animal,大象,The elephant has a long trunk.,A large elephant.
else,adv.,else- other,別的; 其他的,What else do you want?,Anyone else?
email,n./v.,e- electronic; mail- mail,電子郵件; 發送電子郵件,He sent an email.,She emailed him.
end,n./v.,end- finish,結束; 結尾; 結束,The movie ended.,The end of the road.
engineer,n.,en- in; -gen- produce; -eer- agent,工程師,He works as an engineer.,A civil engineer.
enjoy(ment),v./(n.),en- in; -joy- joy; -ment result of,享受; 喜愛; 樂趣,He enjoys reading.,The enjoyment of life.
enough,adv./adj./n.,e- out; -nough- sufficient,足夠; 足夠的; 足夠,He has enough money.,Is that enough?
enter,v.,en- in; -ter- go,進入; 參加,He entered the room.,She entered the competition.
envelope,n.,en- in; -velop- wrap,信封; 封套,He put the letter in an envelope.,A white envelope.
eraser,n.,e- out; -ras- scrape; -er agent,橡皮; 擦除器,He used an eraser to correct his mistake.,A pencil eraser.
error,n.,err- wander; -or- result,錯誤; 誤差,He made an error.,A spelling error.
even,adv./adj./v.,even- flat,甚至; 甚至; 平坦的; 使平坦,Even he can do it.,The surface is even.
evening,n.,eve- evening; -ing act/state of,晚上; 傍晚,Good evening.,He works in the evening.
ever,adv.,ever- always,曾經; 永遠,Have you ever been to London?,He will ever be remembered.
every,adj.,every- each,每個; 所有的,Every student has a book.,Every day.
everyone/everybody,pron.,every- every; one/body- person,每個人; 大家,Everyone is here.,Everybody knows him.
everything,pron.,every- every; thing- thing,一切; 所有事物,Everything is fine.,He lost everything.
example,n.,ex- out; -ample- take,例子; 榜樣,He gave an example.,A good example.
excellent,adj.,ex- out; -cel- rise; -ent being,優秀的; 傑出的,He is an excellent student.,An excellent idea.
except,prep./conj.,ex- out; -cept- take,除了; 除了...之外,Everyone went except me.,He likes all fruits except apples.
excited,adj.,ex- out; -cit- call; -ed past participle,興奮的; 激動的,He was excited about the trip.,She felt excited.
exciting,adj.,ex- out; -cit- call; -ing present participle,令人興奮的; 刺激的,The movie was exciting.,An exciting game.
exercise,n./v.,ex- out; -erc- work; -ise make,運動; 練習; 鍛鍊,He does exercise every day.,He exercised his rights.
expect,v.,ex- out; -spect- look,期望; 預料,I expect him to come.,He expects to win.
expensive,adj.,ex- out; -pens- weigh; -ive tending to,昂貴的; 價格高的,The car is expensive.,An expensive watch.
experience,n./v.,ex- out; -per- try; -ience state/quality,經驗; 經歷; 體驗,He has a lot of experience.,She experienced a lot of pain.
explain,v.,ex- out; -plan- flat,解釋; 說明,He explained the problem.,She explained her feelings.
eye,n.,eye- organ,眼睛,He has blue eyes.,My eye hurts.
face,n./v.,face- front,臉; 面孔; 面對,He washed his face.,She faced the challenge.
fact,n.,fact- make,事實; 實際,It's a fact that the Earth is round.,The facts of the case.
factory,n.,fact- make; -ory- place,工廠; 製造廠,He works in a factory.,A car factory.
fail,v./n.,fail- miss,失敗; 不及格; 失敗,He failed the exam.,His failure was a disappointment.
fall,n./v.,fall- drop,秋天; 瀑布; 跌倒,The leaves fall in autumn.,He fell down.
family,n.,famil- family,家庭; 家人,He has a large family.,My family is important to me.
famous,adj.,fam- speak; -ous full of,著名的; 有名的,He is a famous singer.,A famous painting.
fan,n./v.,fan- wind,風扇; 扇子; 扇動; 狂熱者,He turned on the fan.,She is a fan of the band.
far,adv./adj.,far- distant,遠; 遠的,He lives far away.,The far side of the room.
farm,n./v.,farm- land,農場; 耕種; 務農,He works on a farm.,He farms corn.
farmer,n.,farm- land; -er person,農民; 農夫,He is a farmer.,A hardworking farmer.
fast,adv./adj.,fast- quick,快; 快速的,He runs fast.,A fast car.
fat,n./adj.,fat- grease,脂肪; 肥胖的,He has a lot of fat.,He is a fat man.
father,n.,father- male parent,父親; 爸爸,My father is a doctor.,A loving father.
feed,v./n.,feed- nourish,餵養; 飼養; 飼料,He fed the dog.,The animal feed.
feel,v./n.,feel- touch,感覺; 感受; 感覺,He felt happy.,A strange feeling.
festival,n.,fest- feast,節日; 慶典,They celebrated the festival.,A music festival.
few,adj./pron.,few- small number,很少的; 少數; 少數,He has few friends.,A few people.
fight,v./n.,fight- battle,打架; 戰鬥; 戰鬥,They fought over money.,A street fight.
file,n./v.,file- thread,文件; 檔案; 歸檔,He saved the file.,She filed the documents.
fill,v./n.,fill- full,充滿; 填滿; 填充物,He filled the glass with water.,The filling of the tooth.
finally,adv.,fin- end; -al- pertaining to; -ly in a manner,最後; 終於,He finally arrived.,"Finally, he understood."
find,v./n.,find- discover,找到; 發現; 發現,He found his lost keys.,A new find.
fine,adj./adv./v./n.,fine- good,好的; 罰款; 罰款; 罰款,"I'm fine, thank you.",He paid a fine.
finger,n./v.,finger- digit,手指; 指出,He pointed with his finger.,She fingered the fabric.
finish,v./n.,fin- end; -ish make,完成; 結束; 結束,He finished his homework.,The finish line.
fire,n./v.,fire- flame,火; 火災; 解僱,The house caught fire.,He was fired from his job.
first,n./adv./adj.,first- initial,第一; 首先; 最初的,He came first.,First of all.
fish,n./v.,fish- animal,魚; 釣魚; 捕魚,He caught a fish.,He went fishing.
floor,n./v.,floor- ground,地板; 樓層; 鋪地板,He walked on the floor.,The first floor.
flower,n./v.,flower- bloom,花; 開花; 開花,The rose is a beautiful flower.,The flowers bloomed.
fly,v./n.,fly- move,飛; 蒼蠅; 飛行,The bird flew away.,A housefly.
follow,v.,follow- pursue,跟隨; 遵循,He followed her.,Follow the rules.
food,n.,food- nourishment,食物; 食品,He ate some food.,Healthy food.
fool,n./v.,fool- idiot,傻瓜; 愚弄; 愚弄,He is a fool.,Don't fool me.
foot,n./v.,foot- limb,腳; 英尺; 走,He hurt his foot.,He walked on foot.
for,prep./conj.,for- in favor of,為了; 因為; 對於,This gift is for you.,He is famous for his singing.
foreign,adj.,for- outside; -eign- born,外國的; 異國的,He speaks a foreign language.,Foreign countries.
