單字,詞性,詞根,中文解釋,例句1,例句2
amateur,adj./n.,amat- love; -eur- agent,業餘的; 業餘愛好者,He is an amateur photographer.,The amateur athlete competed in the race.
ambiguous,adj.,ambi- both; -ag- drive; -uous full of,模稜兩可的; 含糊不清的,His answer was ambiguous.,The instructions were ambiguous.
ambitious,adj.,ambi- both; -it- go; -ious full of,有抱負的; 雄心勃勃的,He is an ambitious young man.,She has ambitious plans.
amuse(ment),v./(n.),a- to/toward; -muse- think; -ment result of,使發笑; 娛樂; 娛樂,The clown amused the children.,The amusement park was fun.
analysis,n.,ana- up/back; -lys- loosen; -is act/state of,分析; 解析,He conducted a detailed analysis.,The analysis of the data.
analyze,v.,ana- up/back; -lyze- loosen,分析; 解析,He analyzed the problem.,She analyzed the results.
ancestor,n.,an- before; -ced- go; -or agent,祖先; 祖宗,His ancestors came from Ireland.,We can trace our ancestors back many generations.
anniversary,n.,ann- year; -vers- turn; -ary pertaining to,週年紀念日,They celebrated their wedding anniversary.,The company's 50th anniversary.
annoy,v.,an- to/toward; -noy- harm,惹惱; 騷擾,His constant talking annoyed her.,The noise annoyed him.
annual,adj.,ann- year; -ual pertaining to,每年的; 年度的,The company holds an annual meeting.,The annual report.
anxiety,n.,anx- anxious; -iety state/quality,焦慮; 擔憂,He suffered from anxiety attacks.,She felt a sense of anxiety.
apology,n.,apo- away; -log- word; -y result of,道歉; 歉意,He offered an apology for his behavior.,She accepted his apology.
apparent,adj.,ap- to/toward; -par- appear; -ent being,明顯的; 表面上的,It was apparent that he was lying.,His apparent indifference.
applicant,n.,ap- to/toward; -plic- fold; -ant person,申請人; 申請者,He is an applicant for the job.,The number of applicants increased.
application,n.,ap- to/toward; -plic- fold; -ation act/state of,申請; 應用; 應用程序,He submitted his application.,The application of new technology.
appoint(ment),v./(n.),ap- to/toward; -point- point; -ment result of,任命; 約定; 約會,He was appointed as manager.,She has a doctor's appointment.
appreciation,n.,ap- to/toward; -preci- price; -ation act/state of,欣賞; 感謝; 增值,He expressed his appreciation for her help.,The appreciation of art.
appropriate,adj.,ap- to/toward; -propri- own; -ate make/cause to be,適當的; 合適的,His comments were not appropriate.,She wore appropriate clothing.
approval,n.,ap- to/toward; -prov- test; -al act/state of,批准; 贊成,The plan received official approval.,He sought her approval.
aquarium,n.,aqua- water; -arium- place,水族館; 魚缸,They visited the aquarium.,He has a small aquarium.
arch,n./v.,arch- chief,拱門; 弓形; 拱起,The bridge has a stone arch.,He arched his back.
arise,v.,a- to/toward; rise- rise,出現; 發生,Problems arose during the meeting.,A new opportunity arose.
arms,n.,arm- weapon,武器; 臂,He carried a gun in his arms.,The country has a large arms industry.
artificial,adj.,art- skill; -fic- make; -ial pertaining to,人工的; 虛假的,Artificial intelligence is a rapidly developing field.,Artificial flowers.
artistic,adj.,art- skill; -ist- skilled; -ic pertaining to,藝術的; 有藝術天賦的,He has artistic talent.,The artistic design.
ashamed,adj.,a- to/toward; shame- shame,羞愧的; 慚愧的,He was ashamed of his behavior.,She felt ashamed.
aspect,n.,a- to/toward; -spect- look,方面; 層面,He considered all aspects of the problem.,The different aspects of his personality.
aspirin,n.,a- to/toward; -spir- breathe; -in substance,阿司匹林,He took an aspirin for his headache.,Aspirin can relieve pain.
assemble,v.,as- to/toward; -sembl- seem,集合; 裝配,They assembled in the hall.,He assembled the furniture.
assembly,n.,as- to/toward; -sembl- seem; -y result of,集會; 裝配,The school held a morning assembly.,The assembly line.
assign(ment),v./(n.),as- to/toward; -sign- mark; -ment result of,分配; 佈置; 任務,He was assigned a new task.,The assignment is due next week.
assistance,n.,as- to/toward; -sist- stand; -ance state/quality,幫助; 援助,He offered his assistance.,Financial assistance.
associate,adj./n./v.,as- to/toward; -soci- companion; -ate make/cause to be,聯合的; 同事; 聯想,He is an associate professor.,I associate the smell with my childhood.
association,n.,as- to/toward; -soci- companion; -ation act/state of,協會; 聯想,He is a member of the association.,The association of ideas.
assurance,n.,as- to/toward; -sur- sure; -ance state/quality,保證; 確信,He gave her his assurance.,She spoke with assurance.
assure,v.,as- to/toward; -sur- sure,保證; 使確信,He assured her that he would help.,I assure you it's true.
athletic,adj.,athlet- contest; -ic pertaining to,運動的; 健壯的,He has an athletic build.,Athletic events.
atmosphere,n.,atm- vapor; -sphere- ball,大氣; 氣氛,The Earth's atmosphere protects us.,The atmosphere in the room was tense.
atom,n.,a- not; -tom- cut,原子,The atom is the basic unit of matter.,He studies atoms.
atomic,adj.,a- not; -tom- cut; -ic pertaining to,原子的; 原子能的,Atomic energy is powerful.,The atomic bomb.
attach(ment),v./(n.),at- to/toward; -tach- fasten; -ment result of,附上; 連接; 附件,He attached the file to the email.,She felt a strong attachment to her dog.
attraction,n.,at- to/toward; -tract- draw; -ion act/state of,吸引; 景點,The city has many tourist attractions.,The attraction of the opposite sex.
audio,adj.,aud- hear; -io- sound,音頻的; 聲音的,He listened to an audio book.,Audio equipment.
authentic,adj.,auth- master; -ent- being; -ic pertaining to,真實的; 可靠的,The painting is authentic.,He gave an authentic account.
authority,n.,auth- master; -or- agent; -ity state/quality,權力; 權威; 當局,He has authority over his employees.,She is an authority on ancient history.
autobiography,n.,auto- self; bio- life; -graphy writing,自傳,He wrote his autobiography.,The autobiography of a famous person.
autograph,n./v.,auto- self; -graph- write,親筆簽名; 簽名,He asked for her autograph.,She autographed the book.
await,v.,a- to/toward; wait- wait,等待; 等候,He awaited her arrival.,They awaited the results.
baid,adj.,bald- hairless,禿頭的; 光禿的,He is bald.,The bald mountain.
ballet,n.,ball- dance,芭蕾舞,She studies ballet.,He went to a ballet performance.
bandage,n./v.,band- bind,繃帶; 包紮,He put a bandage on his wound.,She bandaged his arm.
bankrupt,adj./v./n.,bank- bench; -rupt- break,破產的; 使破產; 破產者,The company went bankrupt.,He was declared bankrupt.
bargain,n./v.,bargain- trade,交易; 便宜貨; 討價還價,He got a good bargain.,They bargained over the price.
barrier,n.,bar- bar,障礙; 屏障,The language barrier.,The police set up a barrier.
basin,n.,basin- bowl,盆; 盆地,He washed his hands in the basin.,The Amazon River basin.
battery,n.,batt- beat,電池; 蓄電池,The car battery is dead.,He replaced the battery.
beggar,n.,beg- beg; -gar- agent,乞丐,He gave money to the beggar.,The beggar asked for food.
behavior,n.,be- by; have- have; -ior- result,行為; 舉止,His behavior was unacceptable.,Child behavior.
bin,n.,bin- container,垃圾箱; 儲物箱,Put the rubbish in the bin.,He threw the paper in the bin.
biography,n.,bio- life; -graphy writing,傳記,He wrote a biography of the famous writer.,She read a biography.
biology,n.,bio- life; -logy study of,生物學,She is studying biology.,Biology is the study of living things.
blade,n.,blade- leaf,刀片; 葉片,The razor has a sharp blade.,The blade of grass.
blend,v./n.,blend- mix,混合; 融合; 混合物,He blended the ingredients.,The colors blend well.
blessing,n.,bless- bless; -ing act/state of,祝福; 恩賜,He received a blessing from the priest.,It was a blessing in disguise.
blink,v./n.,blink- wink,眨眼; 閃爍; 眨眼,He blinked his eyes.,The lights blinked.
bloom,n./v.,bloom- flower,花; 開花; 繁盛,The roses are in bloom.,The flowers bloomed.
blossom,n./v.,blossom- flower,花; 開花; 繁榮,The cherry blossoms are beautiful.,Her talent blossomed.
boast,v./n.,boast- brag,吹噓; 自誇; 誇耀,He boasted about his achievements.,His boast was empty.
bond,n./v.,bond- bind,紐帶; 債券; 結合,They formed a strong bond.,The chemical bond.
bounce,v./n.,bounce- jump,彈跳; 反彈; 彈跳,The ball bounced off the wall.,He bounced the ball.
bracelet,n.,brac- arm; -let- small,手鐲; 手鍊,She wore a gold bracelet.,He gave her a bracelet.
breed,n./v.,breed- produce,品種; 繁殖; 飼養,He breeds dogs.,The new breed of cattle.
bridegroom/groom,n.,bride- bride; groom- man,新郎,The bride and bridegroom walked down the aisle.,The groom was nervous.
broke,adj.,break- break,破產的; 身無分文的,He went broke.,I'm broke.
broom,n.,broom- brush,掃帚,She swept the floor with a broom.,A witch on a broom.
brutal,adj.,brut- beast; -al pertaining to,殘忍的; 野蠻的,He suffered a brutal attack.,The brutal dictator.
bulletin,n.,bull- seal,公告; 簡報,The company issued a bulletin.,The news bulletin.
burglar,n.,burg- castle; -lar- thief,竊賊; 夜賊,The burglar broke into the house.,The police caught the burglar.
cabinet,n.,cabin- hut,櫥櫃; 內閣,She put the dishes in the cabinet.,The president met with his cabinet.
calculate,v.,calcul- pebble; -ate make/cause to be,計算; 估計,He calculated the cost.,She calculated the risks.
calculation,n.,calcul- pebble; -ation act/state of,計算; 估計,His calculation was correct.,The calculation of the trajectory.
calorie,n.,calor- heat,卡路里,He is counting calories.,A low-calorie diet.
campaign,n./v.,camp- field,運動; 戰役; 參加運動,He launched a political campaign.,The advertising campaign.
candidate,n.,candid- white,候選人; 申請人,He is a candidate for president.,She is a job candidate.
cane,n.,cane- reed,手杖; 藤條,He walked with a cane.,Sugar cane.
canoe,n./v.,canoe- boat,獨木舟; 劃獨木舟,They paddled a canoe down the river.,He can canoe.
capacity,n.,cap- take/hold; -acity state/quality,容量; 能力,The hall has a seating capacity of 500.,He has a great capacity for learning.
capital(ism),n.,capit- head; -ism doctrine,首都; 資本; 資本主義,London is the capital of England.,He invested his capital.
capitalist,n.,capit- head; -ist person,資本家; 資本主義者,He is a wealthy capitalist.,Capitalists invest in businesses.
cargo,n.,car- car,貨物; 船貨,The ship carried a large cargo.,Air cargo.
carrier,n.,car- car; -ier agent,承運人; 航空公司; 攜帶者,The airline is a major carrier.,A disease carrier.
carve,v.,carve- cut,雕刻; 切割,He carved a statue out of wood.,She carved the turkey.
catalogue,n./v.,cata- down; -log- word,目錄; 編目,He looked through the catalogue.,They catalogued the books.
category,n.,cata- down; -gor- speak,類別; 種類,The books are divided into different categories.,He belongs to a different category.
cease,v./n.,cease- stop,停止; 終止,The rain ceased.,The ceasefire came into effect.
celebration,n.,celebr- famous; -ation act/state of,慶祝; 慶典,They held a celebration for his birthday.,The celebration of Christmas.
chamber,n.,chamber- room,房間; 會議室,The king's chamber.,The chamber of commerce.
championship,n.,champ- field; -ion- winner; -ship state/quality,錦標賽; 冠軍頭銜,He won the world championship.,The football championship.
characteristic,n./adj.,charact- mark; -er- agent; -istic pertaining to,特徵; 特點; 典型的,He has many good characteristics.,The characteristic features of the disease.
charity,n.,charit- charity,慈善; 慈善機構,He donated money to charity.,She works for a charity.
chemistry,n.,chem- chemistry; -istry art/science,化學,She is studying chemistry.,He is good at chemistry.
cherish,v.,cherish- dear,珍惜; 懷念,She cherished the memories.,He cherished his family.
chew,v./n.,chew- bite,咀嚼; 嚼,He chewed his food slowly.,She gave the dog a chew toy.
choke,v./n.,choke- suffocate,窒息; 噎住; 窒息,He choked on a piece of food.,The smoke caused him to choke.
chorus,n.,chorus- dance,合唱; 合唱隊,The chorus sang beautifully.,The song has a catchy chorus.
circular,adj.,circ- circle; -ular pertaining to,圓形的; 循環的,The table is circular.,A circular motion.
circulate,v.,circ- circle; -ulate make/cause to be,循環; 流通; 傳播,Blood circulates throughout the body.,The news circulated quickly.
circulation,n.,circ- circle; -ulation act/state of,循環; 流通; 發行量,Blood circulation is important.,The newspaper has a large circulation.
circumstance,n.,circum- around; -stan- stand; -ce result,情況; 環境,Under no circumstances should you open the door.,He was a victim of circumstance.
civilian,adj./n.,civ- citizen; -il- pertaining to; -ian person,平民的; 民用的; 平民,The war caused many civilian casualties.,He is a civilian.
civilization,n.,civ- citizen; -il- pertaining to; -ize make; -ation act/state of,文明; 文明社會,Ancient civilizations were advanced.,The rise of civilization.
clarify,v.,clar- clear; -fy make,澄清; 闡明,He clarified his statement.,She clarified the instructions.
clash,n./v.,clash- strike,衝突; 碰撞; 衝突,There was a clash between the two groups.,Their opinions clashed.
classification,n.,class- class; -fic- make; -ation act/state of,分類; 分級,The classification of animals.,The classification system.
classify,v.,class- class; -fy make,分類; 歸類,They classified the books by subject.,He classified the plants.
claw,n./v.,claw- nail,爪子; 抓; 撕,The cat sharpened its claws.,The eagle clawed its prey.
cliff,n.,cliff- slope,懸崖; 峭壁,The house is on a cliff.,He stood on the edge of the cliff.
clumsy,adj.,clumsy- numb,笨拙的; 不靈巧的,He is a clumsy person.,The clumsy movements.
coarse,adj.,coarse- rough,粗糙的; 粗俗的,The fabric was coarse.,He used coarse language.
code,n./v.,code- law,代碼; 密碼; 編碼,He wrote a computer code.,She broke the code.
collapse,n./v.,col- together; -laps- fall,倒塌; 崩潰; 倒塌,The building collapsed.,The economy collapsed.
colleague,n.,col- together; -leg- choose,同事; 同僚,He discussed the matter with his colleagues.,She is a colleague of mine.
combination,n.,com- together; -bin- two; -ation act/state of,結合; 組合,The combination of colors was beautiful.,A combination of factors.
comedy,n.,com- together; -ed- sing; -y result of,喜劇; 幽默,He enjoys watching comedies.,The play was a comedy.
commander,n.,com- together; -mand- order; -er person,指揮官; 司令,He is the commander of the army.,The ship's commander.
comment,n./v.,com- together; -ment- mind,評論; 意見; 評論,He made a comment about the weather.,She commented on his performance.
commerce,n.,com- together; -merc- trade,商業; 貿易,International commerce is growing.,The chamber of commerce.
commit,v.,com- together; -mit- send,犯(罪); 承諾,He committed a crime.,She committed herself to the project.
communication,n.,com- together; -mun- common; -ication act/state of,交流; 通訊,Effective communication is important.,Mass communication.
community,n.,com- together; -mun- common; -ity state/quality,社區; 團體,He lives in a small community.,The local community.
companion,n.,com- together; -pan- bread,同伴; 伴侶,He traveled with his companion.,She is a good companion.
competition,n.,com- together; -pet- seek; -ition act/state of,競爭; 比賽,The competition was fierce.,He won the competition.
competitive,adj.,com- together; -pet- seek; -itive tending to,競爭的; 有競爭力的,The market is very competitive.,He is a competitive person.
competitor,n.,com- together; -pet- seek; -itor agent,競爭者; 對手,He defeated his competitor.,The two companies are competitors.
complicate,v.,com- together; -plic- fold; -ate make/cause to be,使複雜化; 使麻煩,The situation was complicated by his absence.,Don't complicate things.
compose,v.,com- together; -pos- put,組成; 創作,The committee is composed of ten members.,He composed a symphony.
composer,n.,com- together; -pos- put; -er person,作曲家; 作詞家,He is a famous composer.,She is a talented composer.
composition,n.,com- together; -pos- put; -ion act/state of,構成; 作品; 作文,The composition of the painting.,A musical composition.
concentrate,v.,con- together; -centr- center; -ate make/cause to be,集中; 濃縮,He concentrated on his work.,The juice is concentrated.
concentration,n.,con- together; -centr- center; -ation act/state of,集中; 專注; 濃度,He has a good concentration span.,The concentration of pollutants.
concept,n.,con- together; -cept- take,概念; 觀念,He explained the concept clearly.,The concept of freedom.
concerning,prep.,con- together; -cern- sift,關於; 有關,He asked a question concerning the project.,The report is concerning.
concrete,adj./n./v.,con- together; -cret- grow,具體的; 實在的; 混凝土; 凝結,He gave a concrete example.,The building is made of concrete.
conductor,n.,con- together; -duct- lead; -or agent,指揮家; 售票員; 導體,The conductor led the orchestra.,The bus conductor.
conference,n.,con- together; -fer- carry; -ence state/quality,會議; 討論會,They held a press conference.,An international conference.
confess,v.,con- together; -fess- speak,承認; 懺悔,He confessed his crime.,She confessed her love for him.
confidence,n.,con- together; -fid- trust; -ence state/quality,信心; 信任,He has great confidence in his abilities.,She spoke with confidence.
confusion,n.,con- together; -fus- pour; -ion act/state of,混亂; 困惑,The room was in confusion.,He was in a state of confusion.
congratulate,v.,con- together; -grat- pleasing; -ulate make/cause to be,祝賀; 恭喜,He congratulated her on her success.,They congratulated him.
congress,n.,con- together; -gress- step,國會; 代表大會,The US Congress.,An international congress.
conquer,v.,con- together; -quer- seek,征服; 戰勝,He conquered his fears.,The Romans conquered many lands.
conscience,n.,con- together; -sci- know; -ence state/quality,良心; 道德心,He has a clear conscience.,His conscience bothered him.
consequence,n.,con- together; -sequ- follow; -ence state/quality,結果; 後果,The consequences of his actions.,He suffered the consequences.
consequent,adj.,con- together; -sequ- follow; -ent being,隨之發生的; 作為結果的,The consequent changes were significant.,The consequent effects.
conservative,adj./n.,con- together; -serv- keep; -ative tending to,保守的; 保守黨人,He has conservative views.,The Conservative Party.
consist,v.,con- together; -sist- stand,由...組成; 在於,The team consists of ten players.,Happiness consists in contentment.
consistent,adj.,con- together; -sist- stand; -ent being,一致的; 始終如一的,His story was consistent.,She is consistent in her efforts.
constitute,v.,con- together; -stitut- stand; -e make/cause to be,構成; 組成,Women constitute a majority of the population.,The elements constitute a whole.
constitution,n.,con- together; -stitut- stand; -ion act/state of,憲法; 章程,The country has a written constitution.,The constitution of the club.
construct,v.,con- together; -struct- build,建造; 構成,They constructed a new building.,He constructed a theory.
construction,n.,con- together; -struct- build; -ion act/state of,建造; 建築; 建築物,The building is under construction.,The construction industry.
constructive,adj.,con- together; -struct- build; -ive tending to,建設性的; 積極的,He offered constructive criticism.,Constructive feedback.
consult,v.,con- together; -sult- leap,諮詢; 請教,He consulted his lawyer.,She consulted a doctor.
consultant,n.,con- together; -sult- leap; -ant person,顧問; 諮詢師,He works as a management consultant.,She hired a consultant.
consume,v.,con- together; -sum- take,消費; 消耗,He consumes a lot of coffee.,The fire consumed the building.
consumer,n.,con- together; -sum- take; -er person,消費者; 顧客,Consumer spending is increasing.,Consumer rights.
container,n.,con- together; -tain- hold; -er agent,容器; 集裝箱,He put the food in a container.,A shipping container.
content,n./adj.,con- together; -tent- hold,內容; 目錄; 滿足的,The content of the book.,He was content with his life.
content(ment),v./(n.),con- together; -tent- hold; -ment result of,使滿足; 滿足,He was content with his life.,She found contentment in her work.
contest,n./v.,con- together; -test- witness,比賽; 競爭; 爭奪,He won the singing contest.,They contested the election.
context,n.,con- together; -text- weave,背景; 環境; 上下文,The meaning of the word depends on the context.,He explained the historical context.
continual,adj.,con- together; -tin- hold; -ual pertaining to,持續不斷的; 頻繁的,He suffered from continual headaches.,The continual noise was annoying.
continuous,adj.,con- together; -tin- hold; -uous full of,連續的; 不間斷的,The continuous rain lasted for days.,A continuous process.
contrary,n./adj.,contra- against; -ary pertaining to,相反; 相反的,"On the contrary, I agree with you.",His actions were contrary to his words.
contrast,n./v.,contra- against; -st- stand,對比; 對照; 對比,"In contrast to his brother, he is very shy.",The colors contrast sharply.
contribute,v.,con- together; -tribute- give,貢獻; 捐獻,He contributed to the discussion.,She contributed money to charity.
contribution,n.,con- together; -tribute- give; -ion act/state of,貢獻; 捐獻,He made a significant contribution.,The contribution of science to society.
convenience,n.,con- together; -ven- come; -ience state/quality,方便; 便利,"For your convenience, the store is open late.",The convenience of online shopping.
convention,n.,con- together; -ven- come; -ion act/state of,大會; 慣例; 習俗,They held a political convention.,Social conventions.
conventional,adj.,con- together; -ven- come; -ion act/state of; -al pertaining to,傳統的; 習慣的,He has conventional views.,Conventional wisdom.
converse,v.,con- together; -vers- turn,交談; 談話,They conversed for hours.,He conversed with his friends.
convey,v.,con- together; -vey- carry,傳達; 運輸,He conveyed his message clearly.,The train conveys passengers.
convince,v.,con- together; -vinc- conquer,說服; 使相信,He convinced her to come.,I'm convinced that he is right.
cooperate,v.,co- together; -oper- work; -ate make/cause to be,合作; 協作,They cooperated on the project.,The two countries cooperated.
cooperation,n.,co- together; -oper- work; -ation act/state of,合作; 協作,They worked in close cooperation.,International cooperation.
cooperative,adj./n.,co- together; -oper- work; -ative tending to,合作的; 合作社,He is a cooperative person.,A cooperative society.
cope,v.,cope- strike,應付; 處理,He coped with the stress well.,She coped with the situation.
copper,n./adj.,copper- metal,銅; 銅製的,The wire is made of copper.,Copper pipes.
cord,n.,cord- string,繩索; 細繩,He tied the package with a cord.,An electrical cord.
correspond,v.,cor- together; -respond- answer,通信; 符合,They corresponded regularly.,His actions correspond to his words.
costume,n.,costume- custom,服裝; 戲服,She wore a fancy costume.,The children dressed in costumes.
cottage,n.,cot- hut,小屋; 村舍,They rented a small cottage.,He lives in a country cottage.
council,n.,con- together; -cil- call,理事會; 委員會,The city council met last night.,The student council.
counter,n./v./adj./adv.,counter- against,櫃檯; 反擊; 相反的; 反對地,He stood at the counter.,He countered her argument.
courageous,adj.,cour- heart; -age- act; -ous full of,勇敢的; 有勇氣的,He made a courageous decision.,She is a courageous woman.
courtesy,n.,court- court; -esy state/quality,禮貌; 禮節,He showed great courtesy.,It's a matter of courtesy.
coward,n.,coward- fear,懦夫; 膽小鬼,He is a coward.,Don't be a coward.
crack,n./v.,crack- break,裂縫; 裂紋; 破裂,There was a crack in the wall.,The ice cracked.
craft,n.,craft- skill,手藝; 工藝; 船隻,He is skilled in his craft.,Handicrafts are popular.
creation,n.,creat- create; -ion act/state of,創造; 創作; 作品,The creation of the universe.,His latest creation.
creativity,n.,creat- create; -ive tending to; -ity state/quality,創造力; 創造性,He has great creativity.,Fostering creativity.
creep,v.,creep- crawl,爬行; 悄悄地移動,The cat crept silently.,The ivy crept up the wall.
critic,n.,crit- judge; -ic pertaining to,評論家; 批評家,He is a film critic.,She is a literary critic.
critical,adj.,crit- judge; -ic- pertaining to; -al pertaining to,批評的; 關鍵的; 嚴重的,He made a critical comment.,The situation is critical.
criticism,n.,crit- judge; -ic- pertaining to; -ism doctrine,批評; 評論,He received a lot of criticism.,Constructive criticism.
criticize,v.,crit- judge; -ic- pertaining to; -ize make,批評; 評論,He criticized her work.,She criticized his behavior.
cruelty,n.,cruel- cruel; -ty state/quality,殘忍; 殘酷,The cruelty of the war.,Animal cruelty.
crunchy,adj.,crunch- crush; -y full of,鬆脆的; 嘎吱作響的,The apple was crunchy.,Crunchy vegetables.
crush,n./v.,crush- press,壓碎; 擠壓; 迷戀,He crushed the can.,She had a crush on him.
cube,n./v.,cube- cube,立方體; 立方; 切成方塊,He drew a cube.,The ice cube.
cue,n./v.,cue- tail,提示; 暗示; 給...提示,He missed his cue.,She gave him a cue.
cunning,adj./n.,cunning- knowing,狡猾的; 詭計多端的; 狡猾,He is a cunning fox.,Her cunning plan.
curiosity,n.,cur- care; -ious full of; -ity state/quality,好奇心; 好奇,He has a strong curiosity about the world.,Her curiosity was aroused.
curl,n./v.,curl- curve,捲髮; 捲曲; 捲曲,She has natural curls.,His hair curled.
curse,n./v.,curse- oath,詛咒; 咒罵; 詛咒,He put a curse on him.,She cursed her bad luck.
curve,n./v.,curve- bend,曲線; 彎曲; 彎曲,The road has a sharp curve.,The ball curved.
cushion,n./v.,cushion- pillow,墊子; 緩衝; 減輕,He sat on a cushion.,The air bags cushioned the impact.
damp,adj./n./v.,damp- moist,潮溼的; 潮溼; 使潮溼,The clothes were damp.,The damp air.
deadline,n.,dead- dead; line- line,截止日期; 最後期限,He missed the deadline.,The deadline is tomorrow.
declare,v.,de- down/away; -clar- clear,宣佈; 聲明,He declared his love for her.,The country declared war.
decoration,n.,de- down/away; -cor- adorn; -ation act/state of,裝飾; 裝飾品,The Christmas decorations.,The decoration of the room.
defeat,n./v.,de- down/away; -feat- make,失敗; 擊敗,He suffered a crushing defeat.,They defeated the enemy.
defend,v.,de- down/away; -fend- strike,保衛; 辯護,He defended his country.,She defended her rights.
defense,n.,de- down/away; -fend- strike; -se result,防禦; 辯護,The country's defense system.,He presented his defense.
defensible,adj.,de- down/away; -fend- strike; -ible capable of,可防禦的; 可辯護的,His position is defensible.,The argument is defensible.
defensive,adj.,de- down/away; -fend- strike; -ive tending to,防禦性的; 戒備的,He took a defensive stance.,She was very defensive.
definite,adj.,de- down/away; -fin- end; -ite pertaining to,明確的; 肯定的,He gave a definite answer.,There is no definite proof.
delicate,adj.,delic- pleasing,精緻的; 脆弱的; 微妙的,She has delicate features.,The delicate balance of nature.
delight,n./v.,de- down/away; -light- light,高興; 愉快; 使高興,He took delight in her success.,The news delighted him.
delightful,adj.,de- down/away; -light- light; -ful full of,令人愉快的; 可愛的,She is a delightful person.,The weather was delightful.
demand,n./v.,de- down/away; -mand- order,要求; 需求; 要求,He made a demand for more money.,The demand for oil is high.
demonstrate,v.,de- down/away; -monstr- show; -ate make/cause to be,演示; 證明; 示威,He demonstrated how to use the machine.,The experiment demonstrated the theory.
demonstration,n.,de- down/away; -monstr- show; -ation act/state of,演示; 示威; 證明,They held a demonstration against the war.,The demonstration of the product.
dense,adj.,dens- thick,密集的; 濃密的,The forest was dense.,Dense fog.
